MAIN_ID,OTYPE_S,RA_d,DEC_d,Z_VALUE
2MASX J01510090+3253533,GinCl,27.753771,32.898144,0.03651
2MASX J01534144+3618489,Galaxy,28.4227,36.3136,0.01571
2MASX J01490219+3514022,Galaxy,27.259142,35.233958,0.01507
UGC  1671,GinPair,32.7414,32.699464,0.039234
2MASX J01535680+3742112,Galaxy,28.4867,37.703136,0.078
UGC  1353,GinGroup,28.345596,36.955192,0.017465
2MASX J01550481+3614156,GinGroup,28.770071,36.237675,0.01259
NGC   834,GinGroup,32.755321,37.666389,0.015591
2MASX J01525253+3646035,Galaxy,28.218879,36.767653,0.01539
UGC  1441,GinGroup,29.458883,37.361714,0.016611
UGC  1568,Galaxy,31.20642,35.65317,0.018553
2MASX J01443844+3548240,Galaxy,26.160183,35.806694,0.014467
2MASX J01500239+3257101,GinCl,27.509963,32.952828,0.03899
LEDA 1911708,Galaxy,27.7013,30.6383,0.0506
2E 0136.8+3307,Seyfert_1,24.9325,33.3722,0.24
2MASX J01532978+3257461,Galaxy,28.374096,32.962822,0.0739
UGC  1569,Galaxy,31.22245,35.149142,0.04736
2MASX J01530937+3620455,GinCl,28.289062,36.345989,0.016698
2MASX J01544650+3400556,GinCl,28.693775,34.015469,0.08269
2MASX J01523147+3303201,Galaxy,28.131133,33.0556,0.08646
2MASX J01484973+3559296,Galaxy,27.207246,35.991558,0.07659
2MASX J01541177+3630434,Galaxy,28.549062,36.512061,0.01608
UGC  1604,Galaxy,31.824046,37.096714,0.017419
2MASX J01500057+3422191,Galaxy,27.502379,34.371986,0.09666
2MASX J01545788+3644186,Galaxy,28.741196,36.738511,0.08903
UGC  1650,Galaxy,32.36058,37.25847,0.015297
2MASX J01502319+3229552,Galaxy,27.596625,32.498681,0.03787
2MASX J01460976+3743159,Galaxy,26.540683,37.721092,0.06753
NGC   826,GinGroup,32.35435,30.7397,0.016134
2MASX J02001608+3203357,GinGroup,30.067025,32.059936,0.017022
NFP J015120.5+361432,Galaxy,27.83533,36.24225,0.15298
2MASX J01513285+3040477,Galaxy,27.886913,30.679917,0.05062
AGC 113945,Galaxy,26.0567,31.9694,0.0364
[WSG91] 014713.6+314906,Galaxy,27.5267,32.0661,0.016976
UGC  1224,Galaxy,26.292446,32.123211,0.037419
2MASX J01524380+3339496,Galaxy,28.182512,33.663794,0.047107
2MASX J01541047+3433412,Galaxy,28.54365,34.561447,0.04404
NGC   688,GinGroup,27.684129,35.284497,0.01393
2MFGC 1540,Galaxy,30.318525,31.173064,0.0184
UGC  1474,GinGroup,30.046683,37.603375,0.013623
AGC 113953,Galaxy,28.0383,31.5256,0.034
2MASX J01554133+3125049,Galaxy,28.922238,31.418056,0.035765
NFP J015041.8+362345,Galaxy,27.67408,36.39578,0.07853
UGC  1540,Galaxy,30.83204,33.63081,0.018319
2MASX J01501758+3613466,Galaxy,27.573267,36.229614,0.0833
NGC   710,GinGroup,28.224671,36.052653,0.02042
LEDA   74034,Galaxy,28.2554,31.925,0.0451
2MFGC 1398,Galaxy,27.795263,30.488153,0.04356
2MASX J01505167+3540341,GinCl,27.715321,35.676156,0.016068
2MASX J01504574+3739227,Galaxy,27.690583,37.656325,0.07362
LEDA 1946814,Galaxy,25.37,31.4311,0.0359
2MASX J01553757+3723488,Galaxy,28.906542,37.396889,0.049031
2MASX J01511542+3032193,Galaxy,27.814288,30.538708,0.04399
2MASX J01482811+3622102,Galaxy,27.117146,36.369522,0.01566
2MASX J01502776+3748106,Galaxy,27.6157,37.802972,0.06913
NFP J015129.3+363541,Galaxy,27.87225,36.59475,0.11778
UGC  1213,Galaxy,26.037254,31.320953,0.034861
2MASX J01503616+3652137,Galaxy,27.650675,36.870492,0.219
UGC  1257,GinGroup,27.029492,36.453144,0.015554
2MASX J01470978+3247498,Galaxy,26.79075,32.797183,0.02758
2MASX J01504002+3628367,Galaxy,27.666787,36.476878,0.07986
2MASX J01511185+3652134,Galaxy,27.799379,36.870411,0.07775
2MASX J01482834+3511086,Galaxy,27.118117,35.185733,0.0812
NFP J015043.2+361541,Galaxy,27.67996,36.2615,0.08344
2MASX J01473153+3523428,Galaxy,26.881412,35.395228,0.01748
2MASX J01545456+3619206,Galaxy,28.727362,36.322403,0.09107
LEDA 1886391,Galaxy,25.9988,30.0042,0.0457
2MASX J01484374+3257241,Galaxy,27.18225,32.956722,0.03402
2MASX J01544982+3338416,GinCl,28.707587,33.644908,0.08608
LEDA 2066809,Galaxy,26.82946,35.58633,0.10114
2MASX J01541365+3440111,Galaxy,28.556883,34.669772,0.08619
2MASX J01402693+3214472,Seyfert_2,25.112233,32.246453,0.0654
2MASX J01463434+3256234,Galaxy,26.643087,32.939861,0.0885
UGC  1178,GinGroup,25.116542,34.625339,0.018399
AGC 122967,Galaxy,32.5133,31.8697,0.0461
MCG+06-05-022,GinCl,27.967829,35.662986,0.01463
2MASX J01563049+3720082,GinGroup,29.127079,37.335622,0.018356
LEDA 1935394,Galaxy,30.2808,31.1828,0.0384
NVSS J015804+341802,RadioG,29.518321,34.29995,0.0476
UGC  1581,Galaxy,31.390533,34.880931,0.0147
NGC   668,GinGroup,26.5945,36.460275,0.015004
MCG+06-05-068,GinCl,29.499587,36.917817,0.017206
AGC 113968,Galaxy,29.7504,31.9997,0.0174
NGC   783,GinGroup,30.27755,31.882483,0.017312
2MASX J01522457+3323331,Galaxy,28.102383,33.39255,0.0372
Mrk 1170,GinGroup,29.52335,37.577808,0.015668
UGC  1596,GinGroup,31.62635,29.993081,0.015858
2MASX J02000021+3049057,Galaxy,30.0009,30.818275,0.07407
UGC  1330,Galaxy,28.031225,35.037822,0.014627
2MASX J01424578+3520434,Galaxy,25.690771,35.345394,0.03524
LEDA    6617,Galaxy,27.06621,32.36006,0.036906
NGC   761,GinGroup,29.456575,33.377156,0.0165
UGC  1415,RadioG,29.182821,36.384514,0.016
2MASX J01535338+3216152,Galaxy,28.472454,32.270897,0.07125
2MASX J02095885+3409018,Galaxy,32.495225,34.150519,0.0461
2MASX J01503732+3737497,Galaxy,27.655508,37.630489,0.08861
2MASX J01531502+3745485,Galaxy,28.312617,37.763478,0.08013
2MASX J01465152+3310324,Galaxy,26.714687,33.175694,0.09979
UGC  1327,Galaxy,27.950538,30.543542,0.015401
2MFGC 1389,Galaxy,27.6363,32.225881,0.07501
2MASX J01472534+3206428,Galaxy,26.8556,32.111903,0.10184
2MASX J01524952+3614515,Galaxy,28.20635,36.247653,0.0165
MCG+06-05-062,Galaxy,29.20095,35.994789,0.04843
LEDA 1962588,Galaxy,32.6612,31.7506,0.026
UGC  1318,GinGroup,27.848129,33.0312,0.034631
LEDA  142788,Galaxy,26.6321,36.3608,0.016463
2MASX J01471149+3425048,Galaxy,26.797887,34.418014,0.07615
2MASX J01563383+3411435,Galaxy,29.140979,34.195439,0.03665
2MASX J01391916+3239468,Galaxy,24.829842,32.663014,0.043483
2MASX J01500735+3721416,Galaxy,27.53065,37.361569,0.036479
LEDA 1997771,Galaxy,27.7271,32.4556,0.036376
2MASX J02103860+3120131,GinGroup,32.660867,31.336972,0.017139
4C 31.07,RadioG,30.232608,31.79205,0.1747
2MASX J01531956+3238561,Galaxy,28.331533,32.648925,0.03602
UGC  1574,Galaxy,31.313883,37.633803,0.017454
2MASX J01432631+3635225,Galaxy,25.859642,36.589583,0.048977
LEDA  142790,Galaxy,29.4271,33.9042,0.018844
NGC   712,GinGroup,28.285129,36.819878,0.017632
2MASX J01503343+3304281,GinCl,27.639308,33.074492,0.03567
UGC  1470,Galaxy,29.928313,32.081861,0.017229
2MASX J01562143+3534214,GinGroup,29.089317,35.572628,0.017882
MCG+06-05-021,Galaxy,27.9392,36.1339,0.015
IRAS 01475+3554,Seyfert_2,27.6365238,36.1571703,0.080322
2MASX J01502214+3442012,Galaxy,27.592279,34.700344,0.1
2MASX J01464244+3230295,Galaxy,26.676838,32.508197,0.037646
2MASX J01510067+3326073,Galaxy,27.752817,33.435364,0.08502
2MASX J01475044+3229269,Galaxy,26.960183,32.490811,0.10311
[ZEH2003] RX J0203.8+2959  1,Galaxy,30.9396,29.9886,0.0258
MCG+05-05-003,Galaxy,25.926521,31.602061,0.034347
2MASX J01455597+3238593,Galaxy,26.483221,32.649817,0.07166
Mrk 1167,GinGroup,29.209629,31.703233,0.017302
2MASX J01491906+3436013,Galaxy,27.329437,34.600372,0.09932
2MASX J01460873+3225424,Galaxy,26.536383,32.428447,0.03725
2MASX J01474963+3316109,Galaxy,26.956796,33.2697,0.10164
NGC   700,GinCl,28.052917,36.097294,0.014237
AGC 122958,Galaxy,30.4179,30.4017,0.015
2MASX J01461693+3403434,Galaxy,26.570567,34.062058,0.09803
NGC   769,Galaxy,29.899646,30.909903,0.0148
2MASX J01522489+3330271,GinCl,28.103746,33.50755,0.039378
LEDA   90575,Galaxy,29.0767,31.4211,0.03693
2MASX J01540236+3415322,Galaxy,28.509871,34.258956,0.08424
UGC  1472,Galaxy,29.99529,34.34247,0.016175
2MASX J01475267+3719334,Galaxy,26.969479,37.325967,0.11795
UGC  1400,GinGroup,29.0180667,36.1313242,0.01737
2MASX J01485579+3345032,Galaxy,27.232471,33.7509,0.12286
2MASX J01455727+3744597,Galaxy,26.488633,37.749931,0.04985
2MASX J01505572+3724007,Galaxy,27.7322,37.400211,0.08801
[NBC2001] 32,GinCl,28.72617,36.03272,0.011825
2MASX J01464505+3021065,Galaxy,26.687721,30.351811,0.06139
MCG+05-05-024,Galaxy,28.080096,31.537275,0.03325
2MASX J01520979+3530551,Galaxy,28.040829,35.515325,0.08266
2MASX J01471333+3301598,Galaxy,26.805575,33.033297,0.14193
UGC  1212,Galaxy,26.034008,34.387344,0.035851
UGC  1577,GinGroup,31.360929,31.175347,0.017592
2MASX J01524785+3619365,Galaxy,28.199408,36.326817,0.01669
2MASX J01502235+3558596,GinCl,27.59315,35.983231,0.04867
2MASX J01492439+3743272,Galaxy,27.351646,37.724225,0.08787
UGC  1341,Galaxy,28.12704,31.98525,0.035878
2MASX J01503334+3616437,GinCl,27.638942,36.278817,0.016385
2MASX J01583533+3203544,GinCl,29.647229,32.065128,0.043969
2MASX J01501477+3613436,GinCl,27.561554,36.228783,0.017262
2MASX J01511336+3237293,GinGroup,27.805696,32.624822,0.038253
2MASX J01521380+3423511,Galaxy,28.057529,34.397553,0.0492
2MASX J01475681+3322259,Galaxy,26.986721,33.373864,0.08902
2MASX J01483692+3644225,Galaxy,27.153867,36.7396,0.07256
2MASX J01455823+3222543,Galaxy,26.492646,32.381767,0.038334
2MASX J01460314+3134113,Galaxy,26.513087,31.569831,0.05033
2MASX J01511369+3301553,GinCl,27.807046,33.032039,0.03284
2MASX J01470774+3146298,Galaxy,26.782287,31.774961,0.04928
UGC  1404,GinCl,29.099242,37.215886,0.014897
2MFGC 1678,GinGroup,32.743767,31.295017,0.016868
2MASX J01484799+3233062,Galaxy,27.199992,32.551728,0.04941
AGC 113970,Galaxy,29.9,30.8597,0.0085
[VV2010c] J013943.5+332151,AGN,24.9313,33.3642,0.24
2MASX J01495389+3206400,Galaxy,27.474575,32.111133,0.0237
2MASX J01471228+3554518,Galaxy,26.801192,35.914411,0.09872
MCG+06-05-063,GinCl,29.241196,35.945728,0.015718
2MASX J01453752+3119553,Galaxy,26.406346,31.332036,0.03453
AGC 113948,Galaxy,27.085,31.8825,0.0233
AGC 122961,Galaxy,31.463292,32.1909,0.014
NGC   704,GinGroup,28.157096,36.126742,0.01577
NGC   703,RadioG,28.165037,36.171464,0.01866
LEDA 2015761,Galaxy,27.7788,32.8783,0.037242
LEDA 1909271,Galaxy,28.875,30.5772,0.0351
2MASX J01503517+3313221,GinCl,27.646563,33.222828,0.03354
2MASX J01490428+3336432,Galaxy,27.267846,33.612011,0.08299
2MASX J01535870+3750043,Galaxy,28.494617,37.834531,0.0742
2MASX J01493963+3609201,Galaxy,27.415154,36.155589,0.08064
UGC  1319,GinGroup,27.87145,36.065956,0.017712
LEDA   90587,Galaxy,31.615,31.1192,0.013064
2MASX J01535360+3620570,Galaxy,28.473363,36.349175,0.04892
NGC   753,GinGroup,29.425783,35.91615,0.016355
2MASX J01562098+3730356,Galaxy,29.087442,37.509911,0.018143
2MASX J01533914+3413091,Galaxy,28.413087,34.2192,0.09237
2MASX J01493473+3234464,Galaxy,27.394737,32.579556,0.0384
IC  200,Galaxy,31.705354,31.157525,0.012872
UGC  1344,GinGroup,28.144533,36.500919,0.01469
LEDA 1950028,Galaxy,25.4188,31.4967,0.0358
NFP J015403.0+360837,GinCl,28.51229,36.14356,0.01411
2MASX J01525849+3529477,Galaxy,28.243733,35.496586,0.08337
[ZHG90] 0153+3639,GinCl,29.1908,36.8939,0.018463
MCG+06-05-023,Galaxy,28.002004,35.639089,0.01651
NFP J015228.0+360926,Galaxy,28.11675,36.15708,0.01569
2MASX J02023427+3435099,Galaxy,30.642817,34.586089,0.037484
2MASX J01550059+3549349,Galaxy,28.752483,35.826386,0.05753
UGC  1398,GinGroup,28.9937,37.129372,0.017399
2MASX J02092987+3538169,GinCl,32.374483,35.638031,0.03809
UGC  1277,GinGroup,27.357325,35.452886,0.01383
2MASX J01512895+3052152,Galaxy,27.870646,30.870911,0.05003
UGC  1639,Galaxy,32.271883,35.101111,0.04666
2MASX J01470830+3401308,Galaxy,26.784596,34.025239,0.08539
UGC  1591,GinGroup,31.551921,29.966422,0.01615
2MASX J01413134+3031500,Galaxy,25.380583,30.530575,0.04348
NGC   740,GinGroup,29.228613,33.015175,0.015434
NFP J015113.9+355137,Galaxy,27.80804,35.86019,0.08122
2MASX J01501994+3309172,GinCl,27.583125,33.154792,0.03886
2MASS J01553602+3115179,Seyfert_1,28.900116,31.25499,0.135
AGC 122954,Galaxy,30.0896,31.9731,0.0329
2MASX J01545838+3645446,LSB_G,28.743279,36.762397,0.08746
2MASX J01531475+3620025,Galaxy,28.311471,36.334033,0.016588
Mrk 1006,GinGroup,26.614775,34.926211,0.018379
2MASX J01502721+3309201,GinCl,27.6134,33.155594,0.0337
2MASX J01513726+3727127,Galaxy,27.905283,37.453528,0.07157
2MASX J01505739+3624273,Galaxy,27.739125,36.407603,0.0809
2MASX J01521683+3602122,GinGroup,28.070133,36.036747,0.015264
2MASX J01535436+3438152,Galaxy,28.476504,34.637567,0.08869
2MASX J01530393+3551016,GinCl,28.266383,35.850472,0.03626
LEDA  100151,Galaxy,28.2446,36.4292,0.01652
UGC  1460,RadioG,29.770625,36.258622,0.01634
2MASX J01452120+3415462,GinGroup,26.338371,34.262839,0.018059
2MASX J01494039+3614201,Galaxy,27.418329,36.238922,0.08102
AGC 113937,Galaxy,24.9763,31.4558,0.0272
UGC  1392,Galaxy,28.872692,36.561886,0.017555
2MASX J01472328+3609185,Galaxy,26.847025,36.155144,0.12082
MCG+06-04-055,RadioG,25.314596,34.811447,0.017
2MASX J01525944+3606265,GinCl,28.247687,36.107381,0.013326
UGC  1422,GinGroup,29.278179,32.788667,0.015287
UGC  1654,Galaxy,32.537621,36.704553,0.036345
2MASX J01534034+3412401,Galaxy,28.418121,34.211142,0.09141
2MASX J01475761+3719082,Galaxy,26.99005,37.318961,0.07302
UGC  1434,GinGroup,29.412167,36.255311,0.015224
NGC   789,GinGroup,30.608313,32.072208,0.0175
2MASX J01531248+3107240,Galaxy,28.302029,31.123358,0.037082
2MASX J01495782+3616236,Galaxy,27.490946,36.273228,0.08109
2MASX J01510428+3225293,Galaxy,27.767837,32.424811,0.07135
2MASX J01463783+3258595,Galaxy,26.657642,32.9832,0.10059
MCG+05-06-008,GinPair,31.855708,32.951756,0.037112
2MASX J01511305+3304353,GinCl,27.804396,33.076486,0.03574
UGC  1339,GinGroup,28.103375,35.856442,0.01356
2MASX J01483096+3230486,Galaxy,27.129,32.513508,0.04958
2MASX J01461378+3718519,Galaxy,26.557421,37.314431,0.07332
2MASX J01485323+3500052,Galaxy,27.221796,35.001456,0.11761
UGC  1535,Galaxy,30.79725,36.31339,0.01442
UGC  1251,GinGroup,26.875621,36.034875,0.016118
2MASX J01510908+3615314,Galaxy,27.787858,36.258739,0.07633
2MASX J01515160+3615027,GinCl,27.965025,36.250775,0.08045
2MASX J01520575+3311231,Galaxy,28.024,33.189761,0.08567
2MASX J01500698+3408062,LSB_G,27.529108,34.135058,0.02973
2MASX J01481094+3310345,Galaxy,27.045608,33.176278,0.08904
2MASX J01510279+3303173,GinCl,27.761642,33.054814,0.03354
2MASX J01542363+3448346,Galaxy,28.598471,34.809636,0.036258
UGC  1316,GinCl,27.823088,34.848706,0.015765
UGC  1599,Galaxy,31.70521,37.41706,0.015391
2MASX J01543275+3349227,GinCl,28.636496,33.822978,0.08747
2MASX J01461060+3646009,Galaxy,26.5442,36.766931,0.08194
2MASX J01484003+3516245,Galaxy,27.166796,35.273492,0.10103
LEDA 2000082,Galaxy,27.7133,32.5067,0.035884
NGC   687,GinGroup,27.638533,36.370758,0.017015
2MASX J01504419+3335451,Galaxy,27.68415,33.595881,0.033455
LEDA 2074523,Galaxy,28.6033,36.0728,0.11637
AGC 122956,Galaxy,30.2721,31.7536,0.0159
NFP J015243.0+363908,Galaxy,28.17917,36.65208,0.08374
2MASX J01500741+3358342,Galaxy,27.530883,33.976169,0.12553
UGC  1380,LSB_G,28.740221,37.342958,0.015467
2MASX J01524077+3310326,Galaxy,28.169875,33.175733,0.08543
MCG+05-05-052,Galaxy,31.222075,32.278869,0.023289
2MASX J02054649+3043433,Galaxy,31.443746,30.728717,0.07084
2MASX J02110923+3504353,Galaxy,32.7885,35.076478,0.04499
2MASX J01504037+3723087,RadioG,27.668217,37.385769,0.07338
UGC  1642,Galaxy,32.298,37.21142,0.015596
2MASX J01490664+3449082,Galaxy,27.277671,34.81895,0.09331
2MASX J01484916+3601595,Galaxy,27.204846,36.033222,0.01733
2MASX J01493899+3456294,Galaxy,27.4125,34.941506,0.03638
MCG+06-05-053,LSB_G,28.915258,37.038558,0.01609
2MASX J02094456+3554259,GinCl,32.435704,35.907206,0.03581
UGC  1405,GinCl,29.087825,37.452267,0.016491
UGC  1608,Galaxy,31.852342,30.425364,0.030918
2MASX J01483264+3541506,Galaxy,27.136033,35.697392,0.01548
MCG+06-05-047,GinGroup,28.744333,36.869342,0.016618
Mrk    2,GinGroup,28.724196,36.917956,0.01851
2MASX J01470855+3306168,Galaxy,26.785667,33.104678,0.03793
UGC  1502,Galaxy,30.30754,30.35756,0.012709
UGC  1350,GinGroup,28.239375,36.512936,0.017185
NGC   653,GinGroup,25.607146,35.638336,0.018029
2MASX J01453153+3625305,Galaxy,26.381383,36.425158,0.12055
2MASX J01551605+3050040,Galaxy,28.816879,30.834447,0.0249
AGC 113972,Galaxy,29.979329,30.808031,0.0146
[ZHG90] 0151+3622,GinCl,28.5879,36.6119,0.01722
2MASX J01505576+3619257,Galaxy,27.732346,36.323822,0.04907
2MASX J01534805+3659000,Galaxy,28.450213,36.983333,0.017309
UGC  1390,GinGroup,28.83835,36.306869,0.014593
NGC   841,LINER,32.822225,37.497211,0.015097
LEDA  100145,Galaxy,27.9567,36.3992,0.08039
2MASX J01482321+3242056,Galaxy,27.096721,32.701569,0.03462
