label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,overlap_area,area_gt,true_positive_real,dist,nx,ny,mos_name,hi_mass,asymmetry,f1,method,type,freq,label_sofia,centroid-0_sofia,centroid-1_sofia,centroid-2_sofia,bbox-0_sofia,bbox-1_sofia,bbox-2_sofia,bbox-3_sofia,bbox-4_sofia,bbox-5_sofia,area_sofia,tot_flux_sofia,peak_flux_sofia,brightest_pix_sofia,elongation_sofia,detection_size_sofia,n_vel_sofia,nx_kpc_sofia,ny_kpc_sofia,file_sofia,true_positive_mocks_sofia,overlap_area_sofia,area_gt_sofia,true_positive_real_sofia,dist_sofia,nx_sofia,ny_sofia,hi_mass_sofia,asymmetry_sofia,f1_sofia,method_sofia,type_sofia,freq_sofia,label_vnet,centroid-0_vnet,centroid-1_vnet,centroid-2_vnet,bbox-0_vnet,bbox-1_vnet,bbox-2_vnet,bbox-3_vnet,bbox-4_vnet,bbox-5_vnet,area_vnet,tot_flux_vnet,peak_flux_vnet,brightest_pix_vnet,elongation_vnet,detection_size_vnet,n_vel_vnet,nx_kpc_vnet,ny_kpc_vnet,file_vnet,true_positive_mocks_vnet,hi_mass_vnet,overlap_area_vnet,area_gt_vnet,true_positive_real_vnet,dist_vnet,nx_vnet,ny_vnet,asymmetry_vnet,f1_vnet,method_vnet,type_vnet,freq_vnet
1153,551.9181334424887,647.0941465411379,925.6970937372084,540,635,917,567,660,936,2443,6363.39208984375,6363.39208984375,11.880751609802246,"[545, 650, 925]",3.139773210546819,12825,208.69082408277967,42.65376336768988,32.41685774561841,data/mto_output/mtocubeout_loud_1245mosC.fits,True,2304.0,5033.0,False,58.65312315266988,25.0,19.0,1245mosC,2467552344557.654,0.784690953745395,0.8909512761020881,,,1401215822.62625,31,552.3888888888889,647.0245901639345,925.6056466302368,534,636,917,570,659,936,5490,6291.974609375,6291.974609375,11.880751609802246,1.4836994041450886,15732,278.2544321103729,39.165551232316425,32.354149484900965,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,4399.0,5033.0,False,58.53966257708257,23.0,19.0,213516398706.4236,0.9035591274397244,1.436642717178315,,,1401252443.72,381,551.9028139039962,647.0342870655002,925.4159375738946,539,636,918,566,659,934,4229,5989.2578125,5989.2578125,11.880751609802246,1.138842901123433,9936,208.69082408277967,39.24146123572926,27.2984057141677,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,-300968429888.3514,4091.0,5033.0,False,58.65312315266988,23.0,16.0,0.4490423267912036,1.5822858247921099,,,1401215822.62625
1155,552.1595648232094,1127.9084315503171,834.9718948322757,541,1115,829,560,1136,841,1103,2853.5078125,2853.5078125,10.626985549926758,"[550, 1129, 836]",1.6926466822488306,4788,146.85650583603015,35.7598502375745,20.43419842398798,data/mto_output/mtocubeout_loud_1245mosC.fits,True,1072.0,2649.0,False,58.53966257708257,21.0,12.0,1245mosC,1732826869965.1064,0.3399818676337262,0.8,,,1401252443.72,38,552.5447214076246,1128.2027126099706,835.0887096774194,542,1120,828,564,1137,843,2728,2807.6640625,2807.6640625,10.626985549926758,1.514771627980997,5610,170.04437517856124,28.948448951241687,25.542748613542507,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,2106.0,2649.0,False,58.53966257708257,17.0,15.0,854785778997.3248,0.4467787114845938,1.28767960868236,,,1401252443.72,383,551.1935232149824,1128.547795552087,835.3585641825986,540,1119,828,561,1138,843,2563,2829.564453125,2829.564453125,10.626985549926758,1.7881112974387603,5985,162.31508539771752,32.41685774561841,25.592255133262505,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,248345861147.8596,2224.0,2649.0,False,58.65312315266988,19.0,15.0,0.4217713616855247,1.4886211512717538,,,1401215822.62625
1159,558.7031383737518,373.2687589158345,931.7181169757488,542,354,918,579,390,951,7010,25463.80078125,25463.80078125,21.047039031982425,"[568, 378, 934]",3.058199946411057,43956,285.9837218912166,60.589851489107836,55.54069395560335,data/mto_output/mtocubeout_loud_1245mosC.fits,True,6139.0,8267.0,False,57.85902364413312,36.0,33.0,1245mosC,7617330387190.61,0.5617689015691869,1.34362004815058,,,1401472170.2825,18,558.6652238923429,372.77870465097976,931.503265916424,541,356,918,580,390,946,12707,24432.94921875,24432.94921875,21.047039031982425,1.4017032776374383,37128,301.442301452904,57.22374636898117,47.12543324163889,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,8017.0,8267.0,False,57.85902364413312,34.0,28.0,-722016976748.5355,0.4809364548494983,1.2374778112217335,,,1401472170.2825,386,558.2346737744814,372.88503882257504,931.3387414532392,542,355,919,575,392,945,8629,24053.99609375,24053.99609375,21.047039031982425,2.3967294939479986,31746,255.06656276784184,62.272904201553274,43.75932953425025,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,153202849008.5571,7894.0,8267.0,False,57.85902364413312,37.0,26.0,0.6590566693707266,1.7538324816707398,,,1401472170.2825
1165,581.2209629451008,868.0127803231252,1028.927176272004,543,841,1017,622,903,1042,12441,35520.5859375,35520.5859375,17.75922393798828,"[610, 861, 1029]",1.7588660917920038,122450,610.6138926866515,99.64726357753491,40.180311735821434,data/mto_output/mtocubeout_loud_1245mosC.fits,True,11424.0,17736.0,False,55.25188369050212,62.0,25.0,1245mosC,8996614844971.402,0.449561932320553,1.2183650615901456,,,1402314455.43875,5,580.4027825637492,868.4007150241213,1028.8862853204687,542,847,1017,621,890,1041,23216,34481.6640625,34481.6640625,17.75922393798828,1.3358277917464705,81528,610.6138926866515,69.25186392016043,38.65218924000844,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,17276.0,17736.0,False,55.36517247522565,43.0,24.0,219758667683.1136,0.3918629550321199,1.4593681365095454,,,1402277834.345,389,580.8696286391539,868.2171640430316,1029.1048441013795,546,848,1020,617,890,1039,16453,33714.03515625,33714.03515625,17.75922393798828,1.5461244519298332,56658,548.7795744399021,67.64135383523069,30.59964795939976,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,-319282165527.1547,15132.0,17736.0,False,55.36517247522565,42.0,19.0,0.1386981097672157,1.5880778716482133,,,1402277834.345
1167,558.5535772094529,1314.5212042732276,1902.5810942052444,548,1303,1891,570,1328,1913,3089,9335.3486328125,9335.3486328125,13.63192367553711,"[562, 1317, 1902]",1.4088817297580607,12100,170.04437517856124,42.07627779306224,37.027122985344306,data/mto_output/mtocubeout_loud_1245mosC.fits,True,2835.0,4478.0,False,57.85902364413312,25.0,22.0,1245mosC,3322411530118.18,0.509226286824215,1.198224852071006,,,1401472170.2825,24,558.4305201618947,1315.1410583120971,1902.7517613551192,546,1303,1891,573,1328,1915,6671,9046.6845703125,9046.6845703125,13.63192367553711,1.344998622759939,16200,208.69082408277967,42.07627779306224,40.39322612308075,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,4211.0,4478.0,False,57.85902364413312,25.0,24.0,536762491209.4567,0.746031746031746,1.213894494090516,,,1401472170.2825,391,558.1668831168831,1314.6073593073593,1902.5831168831169,548,1302,1892,569,1328,1914,4620,8782.138671875,8782.138671875,13.63192367553711,1.645159261948052,12012,162.31508539771752,43.75932953425025,37.027122985344306,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,-100791176329.33395,4321.0,4478.0,False,57.85902364413312,26.0,22.0,0.651082251082251,1.8090851999162654,,,1401472170.2825
1168,568.2912071535022,518.208345752608,713.464083457526,550,507,704,589,533,727,3355,8826.44140625,8826.44140625,12.020322799682615,"[554, 519, 709]",2.708362366258485,23322,301.442301452904,42.90173198350619,37.951530565715636,data/mto_output/mtocubeout_loud_1245mosC.fits,True,3184.0,5738.0,False,56.725099575968095,26.0,23.0,1245mosC,3077389642754.8247,0.1356184798807749,1.0776781181248942,,,1401838381.22,14,569.0065300896287,518.2818181818182,713.878233034571,546,508,703,590,529,726,7810,8800.32421875,8800.32421875,12.020322799682615,1.753163031849082,21252,340.0887503571225,34.58214902725544,37.87568796995169,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,5206.0,5738.0,False,56.61173975272302,21.0,23.0,13502497540.416204,0.9882783882783884,1.248141932390314,,,1401875002.31375,392,567.4395682180145,518.2406653689612,713.3121571403292,549,509,703,586,528,725,5651,8592.83203125,8592.83203125,12.020322799682615,3.253224154799704,15466,285.9837218912166,31.41391874444687,36.374012439687704,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,154540423769.67856,5173.0,5738.0,False,56.83846532210698,19.0,22.0,0.3459564678817908,1.6644144144144144,,,1401801760.12625
1169,577.0586699813549,752.8963331261654,1330.061031696706,551,735,1310,606,772,1350,8045,30373.87890625,30373.87890625,22.439697265625,"[595, 758, 1336]",3.0716443685745136,81400,425.110937946403,59.954636962984836,64.81582796679862,data/mto_output/mtocubeout_loud_1245mosC.fits,True,7410.0,10299.0,False,55.70507433520712,37.0,40.0,1245mosC,5920326984806.656,0.4002486016159105,1.3554051582220596,,,1402167971.06375,9,577.0643406739188,752.8934730697798,1329.7927832316263,550,738,1314,606,768,1347,15076,29332.3828125,29332.3828125,22.439697265625,1.4561761310877153,55440,432.8402277272467,48.61186137730222,53.47305036557757,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,10043.0,10299.0,False,55.70507433520712,30.0,33.0,71873435291.52339,0.5891032917139614,1.3100704409079051,,,1402167971.06375,396,577.1076356076356,753.3406728406728,1330.1872046872047,553,738,1315,602,769,1347,10582,29159.20703125,29159.20703125,22.439697265625,2.5161683831834134,48608,378.7351992613409,50.23225762080419,51.852653949315226,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,-61174678813.39647,9743.0,10299.0,False,55.70507433520712,31.0,32.0,0.9276129276129276,1.7495061950080804,,,1402167971.06375
1170,563.3488274706867,1607.255443886097,259.10594639866,553,1595,248,580,1621,271,2388,7003.515625,7003.515625,15.151426315307615,"[568, 1607, 262]",3.728596203710551,16146,208.69082408277967,43.330474742679925,38.33080299079784,data/mto_output/mtocubeout_loud_1245mosC.fits,True,2139.0,3561.0,False,57.29198754487237,26.0,23.0,1245mosC,3834381776616.125,0.7680067001675042,1.1228346456692913,,,1401655275.75125,19,563.1700642791552,1606.947842056933,259.1386593204776,550,1596,249,579,1618,270,5445,6805.927734375,6805.927734375,15.151426315307615,1.3938762619284493,13398,224.14940364446707,36.66424587366691,34.997688818583605,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,3321.0,3561.0,False,57.29198754487237,22.0,21.0,121702431596.13116,0.8735632183908046,1.1683377308707124,,,1401655275.75125,395,562.9270270270271,1607.0994594594597,258.9805405405405,552,1597,250,575,1619,270,3700,6610.533203125,6610.533203125,15.151426315307615,3.9060644794179664,10120,177.77366495940493,36.73681371108196,33.39710258245098,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,-70240845552.5769,3412.0,3561.0,False,57.40538291243747,22.0,20.0,1.0,1.772928033255391,,,1401618654.6575
1171,565.9550794747754,243.8127159640636,1592.03800967519,554,236,1584,578,253,1600,1447,3811.400146484375,3811.400146484375,11.051883697509766,"[561, 243, 1593]",3.192828710874609,6528,185.50295474024853,28.21931966430369,26.5593594368425,data/mto_output/mtocubeout_loud_1245mosC.fits,True,1403.0,3014.0,False,57.06521458491861,17.0,16.0,1245mosC,1597394323271.8496,0.5881133379405666,0.9175931981687377,,,1401728517.93875,20,565.8231441048035,243.5564566437929,1592.1681222707423,553,235,1584,579,253,1600,3206,3651.747314453125,3651.747314453125,11.051883697509766,1.3539583350433344,7488,200.961534301936,29.87927993952099,26.5593594368425,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,2325.0,3014.0,False,57.06521458491861,18.0,16.0,401809619592.10913,0.4830324909747292,1.1938382541720154,,,1401728517.93875,397,565.6294629462947,243.29642964296428,1592.007200720072,555,233,1584,577,254,1601,3333,3649.475830078125,3649.475830078125,11.051883697509766,2.88776089601486,7854,170.04437517856124,34.85916107980137,28.21931966430369,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,3122660518.503759,2738.0,3014.0,False,57.06521458491861,21.0,17.0,1.0,1.5173178165696868,,,1401728517.93875
1172,583.0301907356949,346.3623433242507,507.44828337874657,554,315,472,613,371,543,18350,89036.390625,89036.390625,31.06024169921875,"[602, 349, 519]",8.296629140036679,234584,456.0280970697778,89.6349016489057,113.64431136731835,data/mto_output/mtocubeout_loud_1245mosC.fits,True,16474.0,19159.0,False,55.025323871179374,56.0,71.0,1245mosC,14805218181891.668,0.3441961852861035,1.566341811266936,,,1402387697.62625,6,582.8531369961612,346.753358925144,507.5255518234165,554,329,474,612,366,540,33344,86784.0625,86784.0625,31.06024169921875,2.3875616787388907,141636,448.2988072889341,59.344948991101816,105.85864684501942,data/sofia_output/sofia_loud_1245mosC_mask.fits,True,18830.0,19159.0,False,55.138600822641386,37.0,66.0,136864094495.19109,0.5532003325020781,1.1184034686544115,,,1402351076.5325,400,583.3298149353669,346.8673858458105,507.8354877708546,559,330,477,608,366,540,21506,86217.578125,86217.578125,31.06024169921875,7.464150924252928,111132,378.7351992613409,57.622406869509675,100.83928804727024,data/vnet_output/vnet_cubeout_loud_1245mosC.fits,True,-202703186635.27884,18547.0,19159.0,False,55.025323871179374,36.0,63.0,0.6300567283548777,1.677095578262049,,,1402387697.62625
