filename,mass
g2_model632,9.1578
g2_model356,8.8372
g2_model202,8.677
g2_model440,8.9212
g2_model363,8.8424
g2_model453,8.9469
g2_model449,8.9384
g2_model995,10.1563
g2_model950,9.8747
g2_model264,8.7367
g2_model491,8.994
g2_model151,8.6257
g2_model643,9.1754
g2_model948,9.8582
g2_model962,9.9356
g2_model373,8.8559
g2_model921,9.7736
g2_model352,8.8309
g2_model729,9.3025
g2_model675,9.2228
g2_model293,8.767
g2_model268,8.7405
g2_model271,8.7436
g2_model272,8.7443
g2_model657,9.1898
g2_model23,8.5176
g2_model907,9.735
g2_model635,9.1586
g2_model633,9.1582
g2_model931,9.7998
g2_model47,8.5435
g2_model637,9.1588
g2_model945,9.8479
g2_model209,8.6821
g2_model74,8.5577
g2_model435,8.9197
g2_model825,9.5015
g2_model109,8.5932
g2_model227,8.6995
g2_model294,8.7678
g2_model841,9.5342
g2_model638,9.1593
g2_model106,8.5902
g2_model34,8.5324
g2_model471,8.9687
g2_model681,9.2292
g2_model678,9.227
g2_model115,8.5974
g2_model389,8.8683
g2_model454,8.947
g2_model367,8.8468
g2_model310,8.7945
g2_model340,8.8188
g2_model620,9.1385
g2_model676,9.2261
g2_model321,8.8046
g2_model273,8.7458
g2_model427,8.9084
g2_model866,9.6023
g2_model16,8.5117
g2_model88,8.5735
g2_model426,8.9063
g2_model899,9.7034
g2_model184,8.658
g2_model90,8.5746
g2_model667,9.2112
g2_model311,8.7955
g2_model337,8.8128
g2_model843,9.5363
g2_model564,9.0845
g2_model530,9.0462
g2_model277,8.7492
g2_model444,8.9322
g2_model305,8.7869
g2_model407,8.8891
g2_model852,9.5534
g2_model523,9.0379
g2_model589,9.1042
g2_model623,9.14
g2_model185,8.6581
g2_model969,9.9553
g2_model914,9.7522
g2_model973,9.9718
g2_model611,9.1295
g2_model138,8.6167
g2_model739,9.3227
g2_model396,8.8775
g2_model132,8.6122
g2_model938,9.8223
g2_model900,9.7044
g2_model999,10.2023
g2_model799,9.4469
g2_model254,8.7313
g2_model713,9.2739
g2_model755,9.3488
g2_model76,8.5591
g2_model265,8.7381
g2_model112,8.5953
g2_model70,8.5564
g2_model205,8.6779
g2_model121,8.6003
g2_model546,9.0589
g2_model697,9.2493
g2_model577,9.0965
g2_model884,9.6633
g2_model335,8.8116
g2_model881,9.6538
g2_model710,9.2707
g2_model456,8.9519
g2_model125,8.6048
g2_model737,9.3192
g2_model196,8.6663
g2_model704,9.2582
g2_model529,9.0435
g2_model565,9.0855
g2_model120,8.5997
g2_model872,9.6332
g2_model730,9.3076
g2_model98,8.5822
g2_model306,8.79
g2_model298,8.7785
g2_model482,8.9833
g2_model139,8.6171
g2_model661,9.1945
g2_model411,8.8948
g2_model300,8.7812
g2_model947,9.8576
g2_model299,8.7805
g2_model913,9.7515
g2_model493,8.9955
g2_model257,8.7326
g2_model817,9.4873
g2_model781,9.4067
g2_model22,8.5166
g2_model634,9.1584
g2_model78,8.5627
g2_model982,10.0332
g2_model421,8.9034
g2_model475,8.9753
g2_model544,9.0584
g2_model329,8.8089
g2_model666,9.2085
g2_model334,8.8114
g2_model399,8.8834
g2_model906,9.7266
g2_model588,9.1036
g2_model466,8.9644
g2_model223,8.6974
g2_model13,8.5106
g2_model779,9.4009
g2_model374,8.8567
g2_model603,9.1149
g2_model194,8.6644
g2_model882,9.6542
g2_model916,9.7558
g2_model651,9.1833
g2_model438,8.9205
g2_model813,9.4765
g2_model130,8.6102
g2_model233,8.7067
g2_model375,8.8572
g2_model278,8.7493
g2_model621,9.1387
g2_model178,8.6498
g2_model910,9.7406
g2_model457,8.953
g2_model26,8.5213
g2_model606,9.119
g2_model867,9.6027
g2_model927,9.7944
g2_model263,8.7361
g2_model658,9.1909
g2_model645,9.1796
g2_model38,8.5342
g2_model677,9.227
g2_model837,9.5197
g2_model428,8.9085
g2_model365,8.8457
g2_model579,9.0978
g2_model958,9.9081
g2_model922,9.7778
g2_model189,8.6601
g2_model582,9.0992
g2_model698,9.2497
g2_model612,9.13
g2_model131,8.6111
g2_model911,9.7463
g2_model883,9.6608
g2_model966,9.9443
g2_model14,8.511
g2_model208,8.682
g2_model476,8.9753
g2_model469,8.9669
g2_model228,8.7002
g2_model481,8.983
g2_model533,9.0484
g2_model9,8.5073
g2_model508,9.0131
g2_model665,9.2025
g2_model360,8.8401
g2_model49,8.5452
g2_model368,8.8477
g2_model888,9.6761
g2_model484,8.9863
g2_model717,9.2829
g2_model6,8.5053
g2_model249,8.7248
g2_model695,9.2468
g2_model535,9.0512
g2_model155,8.6287
g2_model830,9.5091
g2_model153,8.6273
g2_model596,9.1102
g2_model105,8.5893
g2_model364,8.8447
g2_model527,9.042
g2_model618,9.136
g2_model398,8.8802
g2_model422,8.905
g2_model288,8.7614
g2_model448,8.9351
g2_model754,9.3478
