,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,hi_mass,asymmetry,overlap_area,area_gt,mos_name
52,53,29.365853658536587,96.21951219512195,384.5853658536585,27,95,382,33,98,388,41,77.49419403076172,77.49419403076172,3.2822139263153076,"[28, 95, 386]",6.69116308305507,108,465.97919845914623,3,6,46.375738685062146,40.66435738188397,81.32871538312156,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1467151583909833.5,,,,1245mosH
53,54,28.2,315.7,493.7,27,315,493,30,318,496,10,13.003918647766113,13.003918647766113,1.9674873352050781,"[28, 317, 493]",2.999999999999999,27,466.11495580482654,3,3,23.187869342531073,40.67620444553019,40.67620444553019,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,250979675056854.28,,,,1245mosH
54,55,28.8,18.0,370.6,28,18,370,31,19,372,5,7.336216926574707,7.336216926574707,2.0644185543060303,"[28, 18, 370]",inf,6,466.11495580482654,1,2,23.187869342531073,13.558734784582457,27.11746959211062,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,144213332913169.38,,,,1245mosH
55,56,29.0,44.714285714285715,281.7142857142857,28,44,281,31,46,283,7,8.928561210632324,8.928561210632324,1.7348929643630981,"[28, 44, 282]",,12,465.97919845914623,2,2,23.187869342531073,27.109571549690944,27.109571549690944,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,178607405640467.2,,,,1245mosH
56,57,30.059701492537314,126.1044776119403,283.95522388059703,28,125,281,34,128,288,67,100.80848693847656,100.80848693847656,2.3902511596679688,"[31, 125, 283]",3.0006377381593943,126,465.8434488751252,3,7,46.375738685062146,40.65251099557032,94.85586005983996,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,2051451596524699.2,,,,1245mosH
57,58,29.916666666666668,137.5,160.58333333333334,28,137,160,33,139,162,12,27.293479919433594,27.293479919433594,2.925996780395508,"[28, 137, 161]",1.0,20,465.97919845914623,2,2,38.64644890421846,27.109571549690944,27.109571549690944,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,565479540507721.8,,,,1245mosH
58,59,29.136363636363637,140.9090909090909,396.52272727272725,28,140,394,32,143,400,44,47.04983901977539,47.04983901977539,1.9164756536483765,"[28, 140, 395]",3.7194469159846335,72,465.97919845914623,3,6,30.91715912337477,40.66435738188397,81.32871538312156,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,991608092619051.9,,,,1245mosH
59,60,29.833333333333332,152.41666666666666,169.08333333333334,28,152,166,33,154,172,24,26.814720153808594,26.814720153808594,1.7635447978973389,"[28, 153, 170]",9.375000000000005,60,465.97919845914623,2,6,38.64644890421846,27.109571549690944,81.32871538312156,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,574717553717543.6,,,,1245mosH
60,61,28.0,153.0,162.0,28,153,162,29,154,163,1,1.5204612016677856,1.5204612016677856,1.5204612016677856,"[28, 153, 162]",,1,466.11495580482654,1,1,7.7292897808436924,13.558734784582457,13.558734784582457,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,33149405516947.484,,,,1245mosH
61,62,29.414634146341463,227.5121951219512,280.8048780487805,28,227,278,32,229,284,41,38.743446350097656,38.743446350097656,1.8697043657302856,"[28, 228, 280]",8.0,48,465.97919845914623,2,6,30.91715912337477,27.109571549690944,81.32871538312156,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,858064480844063.6,,,,1245mosH
