,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type,mos_name,z_pos,x_pos,y_pos
334,1,20.19637462235649,564.2954682779456,1244.6465256797585,12,557,1238,29,573,1252,1655,6.355448246002197,2.3818955648580764,131.39792627434278,16,14,10,7,9,"[22, 564, 1247]",185.1135442919398,86.15576398405136,75.3862922102682,"[1.2783962682868573, 0.03247548260720773]",real,1245mosD,20,565,1245
335,2,25.37293233082707,97.46842105263157,832.2872180451128,13,84,828,36,104,838,1330,4.856557369232178,1.8599366865881304,177.7736649594049,20,10,20,14,5,"[33, 98, 833]",184.51277529605125,107.34519607219354,53.67259349453842,"[0.9000212014453459, 0.04236877693745053]",real,1245mosD,24,94,833
336,3,55.906354515050175,861.6379598662207,567.4958193979933,46,855,564,71,869,572,1196,5.629430294036865,2.0275706665499817,193.23224452109227,14,8,4,4,5,"[50, 859, 569]",180.91155143415645,73.67505782893768,42.10003147768005,"[0.734332081499345, 0.028269160215724103]",real,1245mosD,58,862,568
337,4,169.36792757840288,877.0898803750405,31.84157775622373,158,869,24,185,888,41,3093,5.883871555328369,2.282424926168636,208.6908240827797,19,17,5,9,9,"[163, 878, 33]",167.27969119897645,92.45342211723907,82.72148126710945,"[2.21630555426897, 0.054772294868305704]",real,1245mosD,171,878,32
338,5,177.19735327963176,944.1139240506328,12.495397008055233,166,925,7,190,954,30,1738,6.334270477294923,12.059843176520774,185.50295474024855,29,23,12,21,2,"[178, 946, 9]",166.3261952634502,140.30879076133527,111.27937598357735,"[1.487185492209321, 0.032136858002870555]",real,1245mosD,178,939,18
339,6,178.0,881.2,37.4,178,880,37,179,883,39,5,7.533302783966064,3.0,7.7292897808436924,3,2,0,1,0,"[178, 881, 37]",166.2070370008549,14.504300566067718,9.669533697075199,"[0.0378503586502775, 0.008810863811741447]",real,1245mosD,178,881,38
340,7,209.4306106264869,684.4647105471847,560.406026962728,197,676,555,223,691,567,1261,6.235739707946777,1.833297916578117,200.96153430193598,15,12,24,9,3,"[221, 685, 558]",162.51629408322722,70.91111671350015,56.728892074754285,"[0.9229033600438061, 0.03545843864458154]",real,1245mosD,210,683,561
341,8,219.31696672122203,760.3398799781778,554.6917621385707,208,753,547,229,768,561,1833,5.666074275970459,1.8997812924730035,162.31508539771752,15,14,17,8,6,"[225, 761, 553]",161.32703776310044,70.39220570710228,65.69939145590446,"[1.1965938934426408, 0.041590324758117116]",real,1245mosD,218,760,554
342,9,225.98033503277492,450.68317552804086,1291.8896576839038,213,443,1286,243,460,1299,2746,4.670022964477539,2.4689951690092435,231.87869342531081,17,13,3,11,6,"[216, 454, 1292]",160.61378936097287,79.42512610248333,60.73685908147003,"[2.0462412256820732, 0.08717142320228209]",real,1245mosD,228,451,1292
343,10,229.56085526315792,86.85263157894737,1334.55,218,78,1328,241,98,1344,3040,4.953943252563477,2.226695847705084,177.7736649594049,20,16,7,9,6,"[225, 87, 1334]",160.13841760396588,93.16476763631668,74.53181108189436,"[1.5981269403015825, 0.048914711066539815]",real,1245mosD,229,88,1336
344,11,220.0,445.0,1298.0,220,445,1298,221,446,1299,1,3.4007315635681152,,7.7292897808436924,1,1,0,0,0,"[220, 445, 1298]",161.20814712836668,4.689355028854106,4.689355028854106,"[0.003987627426365543, 0.003987627426365543]",real,1245mosD,220,445,1298
345,12,228.17375231053603,963.8243992606284,535.8391866913124,222,958,533,238,970,540,541,3.4708850383758545,3.516987353523513,123.66863649349906,12,7,5,7,3,"[227, 965, 536]",160.25725100718284,55.940337231216475,32.631862510503765,"[0.23599382777730477, 0.01436955687887601]",real,1245mosD,230,964,536
346,13,223.0,449.0,1299.0,223,449,1299,224,450,1300,1,3.419739246368408,,7.7292897808436924,1,1,0,0,0,"[223, 449, 1299]",160.85151338871788,4.678980973632506,4.678980973632506,"[0.003941736090723617, 0.003941736090723617]",real,1245mosD,223,449,1299
347,14,240.0614828209765,52.94153104279687,398.48704038577455,232,45,393,251,62,405,1659,4.578542232513428,2.4066505081529788,146.85650583603015,17,12,4,6,5,"[236, 51, 398]",158.8316695858248,78.5438500399857,55.44271540780363,"[1.0692968491082615, 0.03734693152598238]",real,1245mosD,241,53,399
348,15,239.83333333333331,61.5,404.83333333333326,239,61,404,242,63,406,6,2.1426024436950684,3.0000000000000004,23.187869342531076,2,2,2,1,1,"[241, 62, 405]",158.9504330955129,9.24736158417801,9.24736158417801,"[0.004022747361243022, 0.0023936513301867726]",real,1245mosD,240,62,405
349,16,266.3916133617626,83.03766879886281,578.9147121535182,249,78,574,283,90,585,1407,4.937708854675293,1.7583778868797486,262.7958525486855,12,11,22,6,6,"[271, 84, 580]",155.74604601050225,54.365629520660846,49.83516007064729,"[1.1865309379176405, 0.053403226688533596]",real,1245mosD,266,84,579
350,17,259.864250177683,99.8329779673063,395.2515991471215,249,91,389,273,110,402,2814,6.639029502868652,2.4405201721847285,185.50295474024855,19,13,5,9,6,"[254, 100, 395]",156.57636899214341,86.53782794706517,59.21008959941062,"[1.8148160585024289, 0.05881864523336653]",real,1245mosD,261,100,395
351,18,273.13428280773144,86.50661241098679,668.1495422177011,267,80,664,280,95,674,983,4.999654293060303,2.9000133612385386,100.48076715096799,15,10,7,9,5,"[274, 89, 669]",154.9160335748145,67.59487717576457,45.06324986173046,"[0.6621844765151613, 0.02331793913043827]",real,1245mosD,273,87,669
352,19,273.0,83.0,675.0,273,83,675,274,84,676,1,2.040334939956665,,7.7292897808436924,1,1,0,0,0,"[273, 83, 675]",154.9160335748145,4.5063248603417385,4.5063248603417385,"[0.0018412998069952669, 0.001841299806995267]",real,1245mosD,273,83,675
353,20,278.8446601941748,621.031067961165,448.11844660194174,274,617,445,284,627,453,515,3.699751615524292,1.7393023965058525,77.29289780843692,10,8,3,1,2,"[277, 618, 447]",154.32335758300485,44.89084739511897,35.9126775514409,"[0.2975360188910954, 0.01761419698781904]",real,1245mosD,279,622,449
354,21,303.53848821081834,234.00242718446603,1432.6376560332874,290,225,1426,322,244,1441,2884,4.439085006713867,3.3351488061991463,247.33727298699813,19,15,23,13,7,"[313, 238, 1433]",151.36235069889727,83.65610434548883,66.04429037092466,"[1.6852851260680188, 0.028560865344822797]",real,1245mosD,306,234,1433
355,22,321.4286662242866,228.28500331785003,1464.6343729263438,312,217,1457,332,240,1473,3014,8.206419944763184,3.0850919899052376,154.58579561687384,23,16,13,9,7,"[325, 226, 1464]",149.23287161930827,99.84320752200351,69.45613901497315,"[2.816753902382373, 0.05191190053741846]",real,1245mosD,322,228,1465
356,23,354.7083868207103,65.65832263585793,1270.8804022250752,345,53,1262,366,78,1283,4674,6.442154407501222,2.8162797095160763,162.31508539771752,25,21,12,9,7,"[357, 62, 1269]",145.3341342257921,105.68998609638122,88.77958371349541,"[2.9486875679364966, 0.0384126002518582]",real,1245mosD,355,65,1272
357,24,388.8064971751412,75.74011299435028,1325.2436440677964,382,67,1320,397,86,1331,1416,7.474081993103027,2.924274022325632,115.93934671265538,19,11,6,10,7,"[388, 77, 1327]",141.32442101669537,78.10826441680383,45.22057107493853,"[1.0304368169709859, 0.02883724942431344]",real,1245mosD,389,76,1325
358,25,418.5305343511449,437.81730279898215,742.736641221374,399,425,736,437,450,751,3930,5.947246074676514,2.3142033783088487,293.7130116720603,25,15,33,16,5,"[432, 441, 741]",137.79246447127957,100.20552798374278,60.123310007055856,"[2.1994037991002338, 0.06920436460877984]",real,1245mosD,418,437,743
359,26,410.742819843342,340.0835509138381,292.88120104438644,402,334,288,421,348,298,1532,4.87136173248291,2.1384770217527023,146.85650583603015,14,10,5,6,4,"[407, 340, 292]",138.73376801774037,56.49842865480872,40.35601937499625,"[0.631756716856816, 0.02913173581219541]",real,1245mosD,411,341,293
360,27,498.3472144063028,249.4889138998312,948.2687675858188,467,237,934,535,262,961,8885,6.490933418273926,2.4999238853988444,525.591705097371,25,27,7,8,20,"[474, 245, 954]",128.40142585693695,93.37617061447924,100.84626722181541,"[7.175853574355068, 0.12461622311635848]",real,1245mosD,501,249,947
361,28,490.2257885998893,116.62202545655785,66.39180962921971,478,110,61,502,124,73,1807,5.118649482727051,1.903637909664241,185.50295474024855,14,12,17,6,8,"[495, 116, 69]",129.33873380027762,52.6723618072844,45.14773802978674,"[1.370350909711335, 0.04419899043745009]",real,1245mosD,490,117,67
362,29,483.04545454545456,246.1818181818182,943.6818181818179,480,245,943,487,248,946,22,1.752340316772461,1.1666666666666663,54.105028465905846,3,3,1,1,1,"[481, 246, 944]",130.15920506629186,11.358533704636288,11.358533704636288,"[-0.017777184868215144, 0.0]",real,1245mosD,483,246,944
363,30,508.8281464082991,618.2088471325112,1444.2270503033862,488,607,1436,532,628,1455,5109,7.495662212371826,2.188954786745512,340.0887503571225,21,19,12,11,7,"[500, 618, 1443]",127.23035081121736,77.72061010246333,70.31864564887397,"[4.82600553056624, 0.12044983848517193]",real,1245mosD,510,617,1445
364,31,520.8985315517925,829.3639370287075,1390.471623230586,489,821,1381,553,839,1401,7559,4.326828002929688,2.387134699760284,494.67454597399626,18,20,58,6,10,"[547, 827, 1391]",125.82588126495595,65.8822849839269,73.20254044020278,"[0.14856460403850377, 0.00864031270287574]",real,1245mosD,521,830,1391
