label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
21,68.73045722713864,14.830014749262537,1117.8163716814158,53,8,1113,86,23,1123,2712,0.00026799613260664046,2.3670698556442127,255.06656276784182,15,10,27,6,5,"[80, 14, 1118]",179.59254985944662,78.36203954685588,52.24135785604863,"[0.00012613694354043586, 6.08954659911636e-06]",mock
22,68.66870503597123,165.84136690647483,1213.8377697841727,53,157,1209,86,175,1220,2780,0.001799181685782969,2.1255779800062578,255.06656276784182,18,11,27,11,4,"[80, 168, 1213]",179.59254985944662,94.03445008197616,57.46549398202835,"[0.0008413747076379612, 3.1540469507082524e-05]",mock
23,69.70133333333334,883.3582222222223,375.352,56,877,371,84,891,381,2250,0.00042412662878632545,2.9166941551109256,216.42011386362336,14,10,22,6,5,"[78, 883, 376]",179.47267992933294,73.08908672600973,52.20648910497768,"[0.0001963567824876348, 8.957790785260151e-06]",mock
24,78.64711632453567,314.3553274682307,1352.3670576735092,58,307,1342,101,323,1364,4092,0.003990600351244211,3.2491955724825106,332.35946057627876,16,22,37,8,7,"[95, 315, 1349]",178.39414028945643,83.02841105282312,114.16407253931006,"[0.003195311047320893, 5.91582554799416e-05]",mock
25,78.72835070068271,321.3287818900467,782.3629177146963,61,315,778,97,329,788,2783,0.0003454716643318534,2.7859198317864773,278.2544321103729,14,10,31,7,5,"[92, 322, 783]",178.39414028945643,72.64985844175267,51.89275462471767,"[0.0001658254037812949, 7.475444465575171e-06]",mock
26,86.67285339332584,473.86051743532056,1037.8451443569554,64,464,1030,110,485,1047,5334,0.003211116185411811,3.3890382541873443,355.54732991880985,21,17,41,7,10,"[105, 471, 1040]",177.435875991697,108.38942475763317,87.74381628013268,"[0.002201901098392474, 3.676061780392481e-05]",mock
27,75.68995010691376,247.35138987883107,129.3542409123307,68,240,125,85,255,135,1403,0.00048154708929359913,2.1243017621998304,131.39792627434275,15,10,11,8,4,"[79, 248, 129]",178.75359556741356,77.99597664802322,51.99731593209762,"[0.0001366888168836953, 6.161649705364005e-06]",mock
28,84.66863406408095,510.8322091062395,229.83768971332208,71,503,225,99,520,236,2372,0.001156575744971633,2.1980869842341844,216.42011386362336,17,11,6,9,4,"[77, 512, 229]",177.67540346953956,87.86226501487921,56.85205113922616,"[0.0005299382319909099, 2.2274297311081344e-05]",mock
29,86.68440185062789,643.8648380700595,293.86516853932585,71,635,289,103,653,300,3026,0.001637061475776136,1.5036855744809847,247.33727298699816,18,11,26,11,4,"[97, 646, 293]",177.435875991697,92.90521815493508,56.77540784390426,"[0.0008557661225761366, 2.730015430511073e-05]",mock
30,78.73533950617283,554.3719135802469,361.358024691358,72,547,357,87,563,367,1296,0.001261813216842711,1.8494650886423987,115.93934671265538,16,10,4,7,4,"[76, 554, 361]",178.39414028945643,83.02841105282312,51.89275462471767,"[0.00029258839177545164, 1.1697357553866679e-05]",mock
31,79.7035175879397,641.3452979181623,253.3718592964824,72,634,249,88,650,259,1393,0.0012396404054015875,1.69245519477092,123.66863649349908,16,10,11,6,4,"[83, 640, 253]",178.274334734532,82.97265101023127,51.85790459963117,"[0.0003019305071527426, 1.2138909770672535e-05]",mock
32,88.69470786173142,812.861119608443,901.8602018966045,72,803,896,106,823,909,3269,0.0026788096874952316,1.9445286831091975,262.7958525486855,20,13,5,8,7,"[77, 811, 903]",177.19637423800975,103.08868589365375,67.00764146503936,"[0.001320335618255632, 3.469554361727562e-05]",mock
33,78.66162888329136,871.3727959697733,615.3173803526448,72,864,611,87,879,620,1191,0.0004990012384951115,2.381000049384204,115.93934671265538,15,9,7,7,4,"[79, 871, 615]",178.39414028945643,77.83913468142356,46.703478911961454,"[8.72654858130627e-05, 4.070055016352453e-06]",mock
34,91.71088957055214,207.8573619631902,813.8669478527607,73,197,803,111,220,825,5216,0.003981362096965313,7.454163132414601,293.7130116720603,23,22,32,9,14,"[105, 206, 817]",176.83716983120783,118.31166989871599,113.16768281457671,"[0.0028894220902412, 2.564144743075543e-05]",mock
35,80.66076696165192,636.3254670599804,680.3765978367749,75,629,676,87,645,686,1017,0.0017982488498091698,2.1890857838013758,92.75147737012429,16,10,5,7,4,"[80, 636, 680]",178.15453561427358,82.91689396246925,51.823056446313245,"[0.0002426115010750133, 9.84238411795189e-06]",mock
36,91.78571428571429,108.86474164133739,878.8461246200608,76,102,875,108,117,884,2632,0.0002425027487333864,2.1377931687236034,247.33727298699816,15,9,4,6,3,"[80, 108, 878]",176.83716983120783,77.15977810055176,46.29586497999389,"[0.00010510515957136866, 4.898373538371331e-06]",mock
37,88.73303615651312,30.85289747399703,835.8816245666171,77,23,829,101,39,843,2019,0.0025457392912358046,2.6181750897755025,185.50295474024858,16,14,5,7,5,"[82, 30, 834]",177.19637423800975,82.4709453653108,72.16207597343423,"[0.0008602238324672686, 2.6178072941021284e-05]",mock
38,94.68585131894484,792.879753340185,214.85097636176772,77,786,209,113,801,222,2919,0.0011062674457207322,3.262979011594125,278.2544321103729,15,13,4,6,4,"[81, 792, 213]",176.47802328045242,77.00307084161793,66.73599367530855,"[0.0006793248596339285, 2.3825568129909572e-05]",mock
39,90.63640873015873,711.8159722222222,679.8834325396825,79,705,675,104,719,686,2016,0.001060079550370574,3.022313424163505,193.23224452109227,14,11,4,7,6,"[83, 712, 681]",176.9568982043355,72.06455090944728,56.62214594535284,"[0.00036665467820893704, 1.455166872841837e-05]",mock
40,94.74077669902913,18.86844660194175,719.8699029126213,82,12,715,108,27,726,2060,0.0010386718204244971,2.7522942411968963,200.96153430193598,15,11,20,6,6,"[102, 18, 721]",176.47802328045242,77.00307084161793,56.46891696075363,"[0.00036308659334575695, 1.4666534602331104e-05]",mock
41,95.6979274611399,293.8730569948186,609.8564766839378,85,286,604,107,302,617,1930,0.002290298929437995,2.8026648122233615,170.04437517856124,16,13,17,7,4,"[102, 293, 608]",176.35832061801642,82.08089746165089,66.69072755109232,"[0.0007021231056836684, 2.2526227011646806e-05]",mock
