label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
49,88.74881312041433,272.4553301683211,709.4432455761761,72,265,706,106,281,714,2317,0.001141972723416984,1.7753489118698453,262.7958525486855,16,8,4,6,3,"[76, 271, 709]",457.98323045800487,213.15509496033857,106.57754170854614,"[0.0005786956517951753, 2.3091328785979253e-05]",mock
50,83.70343316289262,441.43973703433164,1456.4485025566107,74,435,1453,95,448,1461,1369,5.7302786444779485e-05,2.5542886320291256,162.31508539771752,13,8,5,7,3,"[79, 442, 1456]",458.65981041774654,173.4443622961147,106.73498902120521,"[1.5729182841777554e-05, 7.250053405965719e-07]",mock
51,85.72812291249166,774.440881763527,233.4442217768871,75,768,230,98,782,238,1497,0.00041690588113851845,2.6596899368774523,177.77366495940493,14,8,18,6,4,"[93, 774, 234]",458.38915526101084,186.6760151813981,106.67200470357683,"[0.000349606997144093, 2.0106055421861938e-05]",mock
52,90.7314578005115,138.44347826086957,561.4398976982097,76,132,557,107,146,567,1955,0.0007184144342318177,2.8924242203196813,239.60798320615444,14,10,5,6,5,"[81, 138, 562]",457.7126525363512,186.40051382747336,133.1432205573477,"[0.00043783488938487164, 1.78281947015361e-05]",mock
53,87.71333333333334,751.4562962962963,1118.4407407407407,78,746,1115,99,758,1123,1350,5.20348985446617e-05,2.6296192638779705,162.31508539771752,12,8,4,5,3,"[82, 751, 1118]",458.11853100227563,159.91354497269,106.60902757623998,"[2.0790791675288953e-05, 9.814653300718837e-07]",mock
54,91.7088764742396,295.45375543140904,1210.445685909373,80,289,1207,104,303,1215,1611,0.00017492964980192482,2.295423946157535,185.50295474024858,14,8,20,7,4,"[100, 296, 1211]",457.57737515764654,186.34542299098445,106.48309488751664,"[4.362764265331266e-05, 1.9063616964925076e-06]",mock
55,86.73063583815029,900.4670520231214,973.435838150289,81,894,970,94,908,978,865,0.00028056203154847026,2.764406359389419,100.48076715096799,14,8,7,7,3,"[88, 901, 973]",458.2538392697234,186.62090862018488,106.64051524119883,"[6.779245355210138e-05, 3.2809699830157257e-06]",mock
56,96.67820613690007,80.4287962234461,108.4492525570417,87,74,105,107,87,113,1271,0.000128153245896101,2.5467257731971293,154.58579561687384,13,8,15,6,3,"[102, 80, 108]",456.9011040588992,172.77929922333627,106.3257194500777,"[4.3024745423635686e-05, 2.0248873923131857e-06]",mock
57,105.61442006269593,271.4717868338558,1447.403343782654,91,265,1444,121,279,1452,1914,0.00043777856626547873,2.4155606717226434,231.87869342531076,14,8,25,6,3,"[116, 271, 1447]",455.68430221112897,185.5744812921077,106.04255679027445,"[0.00016536604260589802, 7.843245263549746e-06]",mock
58,101.67025683512841,351.47555923777963,43.435791217895606,93,345,40,112,358,48,1207,8.682991028763354e-05,2.615096038415366,146.85650583603015,13,8,13,7,3,"[106, 352, 43]",456.2250258908855,172.52363708758762,106.16838890966106,"[4.7698403262509685e-05, 2.4372934825816213e-06]",mock
59,106.18394077448747,660.4589977220957,293.4396355353075,94,654,289,119,668,299,1756,0.0009210478165186942,2.4831904219421537,193.23224452109227,14,10,21,6,3,"[115, 660, 292]",455.54914057105753,185.51943758942772,132.51388040435583,"[0.00040570229683673263, 1.5716240690567805e-05]",mock
60,113.23118865866958,453.4525627044711,1300.4471101417666,101,446,1296,127,462,1306,1834,0.0010211411863565445,2.3494405968871033,200.96153430193598,16,10,21,9,5,"[122, 455, 1301]",454.6032249511748,211.5819688132211,132.2387246897196,"[0.000352830860002061, 1.358112950170061e-05]",mock
61,114.1691823899371,403.4654088050315,1520.4616352201258,102,398,1517,127,410,1525,1590,0.00021254787861835212,3.0941776986354887,193.23224452109227,12,8,20,5,3,"[122, 403, 1520]",454.46812497765023,158.6393128068128,105.75953948482325,"[7.073403008651182e-05, 3.2260142089897953e-06]",mock
62,130.1793103448276,330.46206896551723,963.456486042693,104,324,959,157,338,969,3045,0.0005304658552631736,2.92,409.6523583847157,14,10,48,5,5,"[152, 329, 964]",452.3075728809323,184.19933013839346,131.57094653629187,"[0.00023751262517794126, 1.0865846206649924e-05]",mock
63,119.27359017308765,852.4377442769403,853.4410943606923,105,846,849,134,860,858,1791,0.00031998753547668457,3.2829358272054656,224.14940364446707,14,9,24,6,4,"[129, 852, 853]",453.7927406771128,184.80415510618496,118.80266728619301,"[0.00011439903681124948, 5.410599506236952e-06]",mock
64,114.1986531986532,449.4276094276094,1325.4332210998878,108,443,1322,122,456,1330,891,8.784444071352482e-05,2.4749749331550803,108.21005693181168,13,8,9,6,3,"[117, 449, 1325]",454.46812497765023,171.85925675255018,105.75953948482325,"[1.5047448138969373e-05, 7.632893762885045e-07]",mock
65,129.14850615114236,361.4433216168717,747.4477152899824,111,355,743,148,369,752,2276,0.0006292291800491512,3.1894899133926913,285.9837218912166,14,9,4,5,4,"[115, 360, 747]",452.442549647901,184.2542985526995,118.44918808470356,"[0.0003160143607191515, 1.480926319990249e-05]",mock
66,125.23496432212029,837.460754332314,681.4424057084608,111,831,678,141,845,686,1962,0.00046722040860913694,2.1887550200803214,231.87869342531076,14,8,4,5,3,"[115, 836, 681]",452.98253367706826,184.4742035519117,105.41382667642786,"[0.00031874182752186233, 1.6777341093449176e-05]",mock
