label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
32,66.74152823920265,453.9408637873754,1370.9196013289036,56,448,1367,78,461,1376,1505,0.000221546390093863,3.3703971610653936,170.04437517856124,13,9,5,6,4,"[61, 454, 1371]",315.9772736592147,119.48829063521303,82.72266069422237,"[7.645215522758928e-05, 3.886080107361078e-06]",mock
33,70.72326283987915,115.90392749244712,101.91299093655589,59,109,98,84,123,106,1655,0.00028234347701072693,3.0928701533181164,193.23224452109227,14,8,5,8,4,"[64, 117, 102]",315.4680796079279,128.4723326070037,73.41275875648435,"[0.00010683615073568751, 5.4004867168438954e-06]",mock
34,76.7183316168898,672.4145211122554,1358.4485066941297,64,665,1355,91,680,1363,1942,0.0005097922403365374,2.325301204819277,208.69082408277967,15,8,5,8,3,"[69, 673, 1358]",314.7044999228226,137.31575439975612,73.23506568755751,"[0.00019328087976146658, 8.296169180513049e-06]",mock
35,74.67918088737201,112.45563139931741,1430.4522184300342,67,106,1427,83,120,1435,1172,0.00039126447518356144,2.4143263016161716,123.66863649349908,14,8,11,6,3,"[78, 112, 1430]",314.9589983051883,128.26501254301863,73.29429015290357,"[9.51439299109259e-05, 4.3138883743966374e-06]",mock
36,77.73321123321124,232.42551892551893,292.43345543345544,68,225,288,89,240,298,1638,0.0010424297070130706,3.181701398386824,162.31508539771752,15,10,4,7,5,"[72, 232, 293]",314.5772612968427,137.26023607091273,91.50682082105116,"[0.00032321065307071, 1.1955973977473919e-05]",mock
37,85.69271445358402,180.40951821386605,1301.4136310223266,74,174,1297,99,188,1306,1702,0.0002212042745668441,2.877049180327869,193.23224452109227,14,9,3,6,5,"[77, 180, 1302]",313.5596057767181,127.69511899756445,82.08971669290543,"[6.36595452492659e-05, 3.0601071095933686e-06]",mock
38,90.68769074262462,216.44913530010172,187.4175991861648,77,210,184,105,224,192,1966,0.00032845037640072405,2.3916722586614467,216.42011386362336,14,8,23,7,4,"[100, 217, 188]",312.92379983107566,127.43619114336252,72.82067794216172,"[0.0001286980287033094, 5.762289052783499e-06]",mock
39,91.77249417249418,556.4382284382284,938.4153846153846,77,550,934,108,564,944,2145,0.00041121416143141687,2.7963895288853458,239.60798320615444,14,10,4,7,5,"[81, 557, 939]",312.79665974956345,127.38441416846216,90.98886479947203,"[0.00016258418295503067, 7.007412458155236e-06]",mock
40,91.79941219691403,703.3982365907422,846.4070536370316,83,697,842,102,711,851,1361,0.00021970078523736447,2.5542886320291256,146.85650583603015,14,9,15,6,5,"[98, 703, 847]",312.79665974956345,127.38441416846216,81.88997788067556,"[5.322583636321298e-05, 2.5376538884811023e-06]",mock
41,99.68767585818796,694.4096792346652,863.4361283061339,88,687,860,113,702,868,1777,0.0005332873552106321,2.325301204819277,193.23224452109227,15,8,20,8,3,"[108, 695, 863]",311.7797922907684,136.039609841948,72.5544552876334,"[0.00017674348215225634, 7.6161710388190514e-06]",mock
42,109.73495416500597,80.45795137504982,916.4272618573136,91,74,912,130,87,921,2509,0.00016852319822646677,3.204242307212319,301.44230145290396,13,9,4,6,5,"[95, 80, 917]",310.50934061798824,117.42056606490549,81.29115910415568,"[7.049581283016267e-05, 3.450932878243726e-06]",mock
43,101.67895878524946,587.441431670282,1116.445770065076,95,581,1113,109,595,1121,922,0.00028221687534824014,2.5662969957778623,108.21005693181168,14,8,8,6,3,"[103, 587, 1116]",311.52564573614666,126.86680194194852,72.49531269632456,"[4.4883097442855234e-05, 2.119390027975797e-06]",mock
44,112.73997618102422,890.8971814211989,480.93529178245336,95,885,477,132,898,486,2519,7.09535670466721e-05,3.085799663349983,285.9837218912166,13,9,4,6,4,"[99, 891, 481]",310.12834211088494,117.27648968934488,81.19141392355101,"[3.712568063426229e-05, 1.82128818078782e-06]",mock
45,107.6657060518732,240.44322766570605,114.43054755043228,96,234,110,120,248,120,1735,0.0007600522367283702,2.6004915287511468,185.50295474024858,14,10,4,7,5,"[100, 241, 115]",310.7633747418066,126.5563720155888,90.39740613486319,"[0.00028551623256456806, 1.1460278398772262e-05]",mock
46,115.79422835633626,446.9196988707654,673.918444165621,99,440,670,134,454,679,2391,0.0001507950946688652,2.6569635336933946,270.5251423295292,14,9,4,7,4,"[103, 447, 674]",309.7474068041512,126.1426256518783,81.09168528876516,"[7.082566429134593e-05, 3.5325339314305845e-06]",mock
47,115.64785914365746,677.9595838335334,1348.9103641456581,99,669,1344,133,688,1355,2499,0.0027210363186895847,2.579979360165118,262.7958525486855,19,11,29,7,6,"[128, 676, 1350]",309.7474068041512,171.1935713518317,99.11206091557456,"[0.0012603932600531063, 4.150476297794601e-05]",mock
48,116.7591304347826,436.9013043478261,343.93391304347824,101,431,340,134,444,349,2300,0.0001490216818638146,2.6569635336933946,255.06656276784182,13,9,28,6,4,"[129, 437, 344]",309.6204424103818,117.08442503126221,81.05844608664027,"[5.6754512780227865e-05, 2.750309196895371e-06]",mock
49,115.71358328211431,110.9078057775046,989.8899815611555,105,104,986,128,119,995,1627,0.0006664785905741155,2.7957747348982744,177.77366495940493,15,9,5,6,4,"[110, 110, 990]",309.7474068041512,135.15281430392932,81.09168528876516,"[0.00017233672820987617, 7.96532028846177e-06]",mock
50,111.71987315010571,294.4207188160677,1278.4122621564482,105,288,1275,119,302,1283,946,0.00019055393931921571,2.507263516668858,108.21005693181168,14,8,5,7,3,"[110, 295, 1278]",310.2553345902132,126.34947595366603,72.19969785688346,"[3.539155829581468e-05, 1.7019622925463902e-06]",mock
51,123.69076988515525,258.9323692045938,606.9464057847724,107,252,603,141,266,612,2351,0.0002528725890442729,2.6569635336933946,262.7958525486855,14,9,4,6,3,"[111, 258, 606]",308.7318881795418,125.72906226799627,80.82582312203596,"[0.00011894048285671502, 5.893857920178552e-06]",mock
52,123.67123287671232,86.88812785388127,225.92328767123288,108,81,222,140,94,231,2190,0.00016819970915094018,2.8178316496775975,247.33727298699816,13,9,5,6,3,"[113, 87, 225]",308.7318881795418,116.74841407404928,80.82582312203596,"[7.533294873258844e-05, 3.7589611397396445e-06]",mock
53,128.8131634819533,542.8890658174098,1190.9092356687897,115,536,1187,143,550,1196,1884,0.00019983339007012546,2.6862497797232563,216.42011386362336,14,9,4,6,4,"[119, 542, 1191]",308.0974170735192,125.47067801858574,80.6597189670884,"[7.152917974369414e-05, 3.572739160171566e-06]",mock
54,136.79562043795622,552.92700729927,770.9239339223973,117,546,767,157,560,776,2603,0.0001776320132194087,2.3742462625253298,309.1715912337477,14,9,6,6,4,"[123, 552, 771]",307.08262794715034,125.05741171813831,80.39404778256096,"[7.039995119870193e-05, 3.489196181090541e-06]",mock
55,126.66412213740458,726.9319916724497,859.9292158223456,117,720,856,137,734,865,1441,0.00036969775101169944,3.3262570648324403,154.58579561687384,14,9,4,7,3,"[121, 727, 859]",308.3511844730015,125.57402314875432,80.72615512004184,"[9.854769721604467e-05, 4.6459986782416286e-06]",mock
56,137.83326171035668,760.9084658358402,655.9144821658788,120,755,652,156,768,661,2327,0.00015851345960982144,2.750622131870345,278.2544321103729,13,9,30,6,3,"[150, 761, 655]",306.95581084981563,116.07678208701653,80.3608471425543,"[6.69921591497923e-05, 3.3404734956679098e-06]",mock
57,133.66841278156102,624.9245678365636,264.9277108433735,121,618,261,148,633,270,1909,0.0003570890985429287,2.797836269907687,208.69082408277967,15,9,22,8,4,"[143, 626, 265]",307.46312129129234,134.1561066351811,80.4936607118054,"[0.00012926870835536236, 6.093640978187354e-06]",mock
58,127.70898876404495,5.201123595505618,1450.938202247191,122,0,1447,135,12,1456,890,0.0007221169653348625,2.408373812673669,100.48076715096799,12,9,8,5,3,"[130, 5, 1450]",308.2242972664942,107.59058341247597,80.69293612549585,"[0.00014075225428517485, 6.611916849375484e-06]",mock
59,131.72102318145483,570.8992805755396,32.88968824940048,124,564,29,141,579,38,1251,0.0003901488962583244,2.226827043666628,131.39792627434275,15,9,3,6,4,"[127, 570, 33]",307.7168185699784,134.26680296529548,80.56007850717643,"[0.00011868270571798588, 5.655438120352463e-06]",mock
60,132.75301764159704,919.9015784586816,1280.8857938718663,126,913,1277,141,927,1286,1077,0.00023826090910006315,2.6485348301074465,115.93934671265538,14,9,4,7,4,"[130, 920, 1281]",307.5899664253227,125.26402202810405,80.52686869180216,"[5.044079433001127e-05, 2.5615578494701313e-06]",mock
61,136.67073170731706,376.9197154471545,963.8912601626016,130,371,960,144,384,969,984,0.00018321578681934625,2.7556766575840146,108.21005693181168,13,9,9,6,4,"[139, 377, 964]",307.08262794715034,116.12473856821646,80.39404778256096,"[3.225792250415936e-05, 1.6037462246872217e-06]",mock
62,148.6450605232331,517.9047247169075,839.91917219836,130,512,836,169,525,845,2561,0.00027644424699246883,2.505414726437566,301.44230145290396,13,9,33,6,3,"[163, 518, 839]",305.56128516098437,115.54943564568653,79.99576115377214,"[0.0001080546580967919, 5.197030021429241e-06]",mock
63,138.69021739130434,690.919384057971,46.8731884057971,131,684,43,147,698,52,1104,0.0002931613998953253,2.518706579193989,123.66863649349908,14,9,11,7,4,"[142, 691, 47]",306.82900076020195,124.95412368861624,80.3276483371648,"[7.82547649687817e-05, 4.019603656787539e-06]",mock
64,148.6700351493849,227.93760984182776,430.94068541300527,132,222,427,166,235,436,2276,0.00020722822227980942,2.698200957227379,262.7958525486855,13,9,29,6,4,"[161, 228, 431]",305.56128516098437,115.54943564568653,79.99576115377214,"[8.379651934105521e-05, 4.1836686463866174e-06]",mock
65,144.7053115423902,233.91113381001023,249.91624106230847,132,226,246,158,243,255,1958,0.0011819327482953668,1.8265186185412707,200.96153430193598,17,9,5,9,4,"[137, 235, 250]",306.06828735214475,151.35383092344944,80.12849402327535,"[0.0004468022355795079, 1.8071566216117118e-05]",mock
66,160.78377412437456,542.3809864188706,708.3970693352395,140,536,705,182,550,713,2798,7.533722236985341e-05,2.563360440658901,324.63017079543505,14,8,37,6,4,"[177, 542, 709]",304.0409505672554,123.81870830155579,70.7535449666622,"[3.6108329906118646e-05, 1.7281801372956434e-06]",mock
67,149.6986027944112,495.42914171656685,25.435129740518963,143,489,21,157,503,30,1002,0.0006130083929747343,2.7574830247723945,108.21005693181168,14,9,8,7,4,"[151, 496, 25]",305.4345521179836,124.38624350882402,79.96258251913969,"[0.0001353335570863008, 6.208596465163462e-06]",mock
68,161.67936507936508,862.4199134199134,1510.4176046176046,144,855,1501,180,871,1521,3465,0.003894605441018939,4.723089675135175,278.2544321103729,16,20,4,8,13,"[148, 863, 1514]",303.9143014950496,141.44815243605825,176.81019772633607,"[0.002745677636428149, 4.2194604980904975e-05]",mock
69,157.6800587947085,52.416952474277316,233.41793238608525,145,44,228,172,62,239,2041,0.0021160359028726816,2.300200906233446,208.69082408277967,18,11,4,10,6,"[149, 54, 234]",304.42093975245825,159.39444974451467,97.40771371106032,"[0.000884383882969293, 3.0283695386269774e-05]",mock
70,154.7238644556597,211.45565969718817,89.43475126171593,146,204,85,165,219,95,1387,0.0011224066838622093,2.4015714899161282,146.85650583603015,15,10,4,7,5,"[150, 211, 90]",304.80099190271244,132.99453345973475,88.66301918052875,"[0.00037104887052866886, 1.523904371561204e-05]",mock
71,167.73353819139595,414.4284460052678,1411.4170324846357,152,408,1407,184,422,1416,2278,0.0003968651290051639,2.4790190694359224,247.33727298699816,14,9,27,7,5,"[179, 415, 1412]",303.1545539113212,123.45772900328751,79.36568035637026,"[0.00017219888185321467, 8.076823637448148e-06]",mock
72,164.69086651053865,389.41451990632316,285.40749414519905,156,383,281,174,397,291,1281,0.00038389250403270125,2.5697414267375747,139.12721605518644,14,10,13,6,5,"[169, 389, 286]",303.5343962389106,123.61241733152956,88.29458141747357,"[7.623962189469431e-05, 3.515706395004696e-06]",mock
73,170.71609498680738,197.42058047493404,1190.4163588390502,157,191,1186,185,205,1195,1895,0.0002194450789829716,2.7606497154844805,216.42011386362336,14,9,5,7,4,"[162, 198, 1190]",302.7747744966497,123.30306629592386,79.26625433343291,"[7.736637600405555e-05, 3.6928198483972665e-06]",mock
74,176.16640127388536,906.3964968152866,1052.4020700636943,158,900,1048,195,914,1058,2512,0.0002878163941204548,2.563360440658901,285.9837218912166,14,10,32,7,4,"[190, 907, 1052]",302.01540434354456,122.99381771837268,87.85272456289714,"[0.00012905392147361734, 6.157680897487217e-06]",mock
75,177.10450371665937,611.3926541320507,1212.4070835155226,161,605,1209,195,619,1217,2287,0.00018948022625409067,2.48318275360063,262.7958525486855,14,8,4,6,4,"[165, 611, 1213]",301.8888671026409,122.9422862464065,70.25273238236552,"[7.030517384665449e-05, 3.3765246291354207e-06]",mock
76,183.31185567010309,916.4259941089838,1500.3865979381444,163,910,1497,204,924,1505,2716,0.0001471594296162948,2.4155606717226434,316.9008810145914,14,8,4,6,3,"[167, 916, 1500]",301.12979031227565,122.63315713893145,70.07608718467075,"[7.463306968530706e-05, 3.5623323527042094e-06]",mock
77,168.6765625,324.3890625,761.45625,164,318,758,174,332,766,640,0.000395937793655321,3.076923076923077,77.29289780843692,14,8,5,6,3,"[169, 324, 761]",303.0279537835447,123.40617192104958,70.5178099008639,"[3.3286793393681136e-05, 1.5955107883907263e-06]",mock
78,175.74360795454547,757.4225852272727,263.4318181818182,166,751,260,186,765,268,1408,0.00030055094975978136,2.325301204819277,154.58579561687384,14,8,4,6,3,"[170, 757, 263]",302.141948569564,123.04535203498207,70.31162711650171,"[8.517312699125945e-05, 4.009218408760549e-06]",mock
79,176.21428571428572,68.4192546583851,921.4389233954452,170,62,918,184,76,926,966,0.00022305265883915126,2.825825825825826,108.21005693181168,14,8,8,6,4,"[178, 68, 922]",302.01540434354456,122.99381771837268,70.28217893667846,"[3.6513811122040025e-05, 1.7884032276781207e-06]",mock
80,177.1861152141802,137.40472673559822,518.4372230428361,173,131,515,183,145,523,677,0.0003391469654161483,2.7949665431973965,77.29289780843692,14,8,4,6,3,"[177, 137, 518]",301.8888671026409,122.9422862464065,70.25273238236552,"[3.4626251531126145e-05, 1.6990830852714898e-06]",mock
81,187.1751968503937,686.8986220472441,201.9128937007874,174,680,198,202,695,207,2032,0.0005220588063821197,2.8194397487164657,216.42011386362336,15,9,23,6,4,"[197, 686, 202]",300.6238787477886,131.17192385541645,78.70315111666936,"[0.00020397527528554342, 9.739001583185361e-06]",mock
82,185.158480681074,622.9443352979699,615.9148657498363,175,617,611,196,630,621,1527,0.0006012757075950503,3.316086737266768,162.31508539771752,13,10,5,6,4,"[180, 623, 615]",300.876820570206,113.77798335099722,87.52152395129815,"[0.00017592645407498353, 7.80746052570159e-06]",mock
83,189.17511832319136,350.92765382014875,1401.9290060851927,179,345,1398,200,358,1407,1479,0.0002777082845568657,3.262979011594125,162.31508539771752,13,9,5,6,4,"[184, 351, 1402]",300.37096484040364,113.5866916300385,78.63693840743503,"[8.202084140204488e-05, 3.887052663990825e-06]",mock
84,195.233464739378,634.9623302671923,382.93166885676743,180,628,378,211,643,388,2283,0.0007565164705738425,2.5915466570229446,239.60798320615444,15,10,4,8,4,"[184, 636, 382]",299.61239056223195,130.73057883715265,87.15371615202032,"[0.0002533461492431801, 1.0853188213003874e-05]",mock
85,187.1659619450317,76.89640591966173,1499.9133192389006,181,70,1496,194,84,1505,946,0.00022040445765014738,2.2801850714213496,100.48076715096799,14,9,5,7,4,"[186, 77, 1500]",300.6238787477886,122.42712793032406,78.70315111666936,"[4.2063403761239836e-05, 2.0238348247165853e-06]",mock
86,194.16675489677078,840.9370037056643,565.9221810481737,181,835,562,208,848,571,1889,0.0004797672445420176,3.3703971610653936,208.69082408277967,13,9,21,6,3,"[202, 841, 565]",299.7388021698802,113.34763634600024,78.47143859951636,"[0.0001465728073050142, 6.661078415895944e-06]",mock
87,189.19221209610606,912.9560894780448,1473.9395194697597,181,907,1470,198,920,1479,1207,0.0004932672018185258,2.838549309228678,131.39792627434275,13,9,5,6,3,"[186, 913, 1473]",300.37096484040364,113.5866916300385,78.63693840743503,"[0.00011883870860511988, 5.740424052375206e-06]",mock
88,189.1586854460094,522.938028169014,157.91737089201877,182,517,154,197,530,163,1065,0.00026987670571543276,2.7556766575840146,115.93934671265538,13,9,5,6,4,"[187, 523, 158]",300.37096484040364,113.5866916300385,78.63693840743503,"[5.185732814466845e-05, 2.644349525397482e-06]",mock
89,209.1869682042096,545.9003582624272,1443.9126735333632,182,538,1435,238,554,1454,4466,0.0028372330125421286,3.3131620473824053,432.8402277272467,16,19,50,9,12,"[232, 547, 1447]",297.8433600771945,138.62260772533284,164.61435154898336,"[0.0025048490271285446, 5.008865498144841e-05]",mock
90,215.2793726741095,417.92264752791067,1463.9189261031365,186,410,1459,245,426,1470,3762,0.0009941484313458204,2.4879342394956065,456.0280970697778,16,11,5,6,6,"[191, 416, 1465]",297.0856222111555,138.2699404745493,95.06058045661355,"[0.0005989484848163219, 2.397174222800887e-05]",mock
91,196.12970430107526,659.9274193548387,1085.9166666666667,186,654,1082,207,667,1091,1488,0.00012811842316295952,3.316086737266768,162.31508539771752,13,9,15,6,4,"[201, 660, 1086]",299.48598592872247,113.25203269656393,78.40525145924173,"[3.4193401864048985e-05, 1.7331384865272365e-06]",mock
92,217.2719087635054,107.9000600240096,309.92436974789916,194,99,306,241,118,315,3332,0.0016053804429247975,2.3,363.2766196996535,19,9,5,11,4,"[199, 110, 310]",296.83309862948363,164.05599250728187,77.71072715572605,"[0.0010068021535065757, 3.670453507620787e-05]",mock
93,202.17341977309562,735.9141004862237,1346.921393841167,194,729,1343,211,743,1352,1234,0.00047325235209427774,2.8875689528019577,131.39792627434275,14,9,6,7,4,"[200, 736, 1347]",298.7277045522589,121.65492326786925,78.20673384976453,"[0.00011894595248702398, 5.73599649941355e-06]",mock
