method,mos_name,label,type
sofia,1353mosC,48,notsure
sofia,1353mosC,50,notsure
sofia,1353mosC,59,notsure
sofia,1353mosC,61,gal
sofia,1353mosC,68,gal
sofia,1353mosC,69,gal
sofia,1353mosC,70,notsure
sofia,1353mosC,71,gal
sofia,1353mosC,73,gal
sofia,1353mosC,81,gal
sofia,1353mosC,93,gal
sofia,1353mosC,95,gal
sofia,1353mosC,96,gal
sofia,1353mosC,99,gal
sofia,1353mosC,102,notsure
sofia,1353mosC,104,gal
sofia,1353mosC,109,gal
sofia,1353mosC,111,gal
sofia,1353mosC,115,gal
sofia,1353mosC,118,gal
sofia,1353mosC,119,gal
sofia,1353mosC,120,gal
sofia,1353mosC,122,gal
sofia,1353mosC,123,gal
sofia,1353mosC,125,gal
sofia,1353mosC,128,gal
sofia,1353mosC,129,gal
sofia,1353mosC,130,gal
sofia,1353mosC,132,gal
sofia,1353mosC,135,gal
sofia,1353mosC,139,gal
sofia,1353mosC,142,gal
sofia,1353mosC,143,gal
sofia,1353mosC,152,gal
sofia,1353mosC,154,gal
sofia,1353mosC,155,gal
sofia,1353mosC,156,gal
sofia,1353mosC,157,gal
sofia,1353mosC,158,gal
sofia,1353mosC,163,gal
sofia,1353mosC,165,gal
sofia,1353mosC,166,gal
sofia,1353mosC,167,gal
sofia,1353mosC,169,gal
sofia,1353mosC,173,gal
sofia,1353mosC,177,gal
sofia,1353mosC,179,gal
sofia,1353mosC,186,gal
sofia,1353mosC,189,notsure
sofia,1353mosC,191,gal
sofia,1353mosC,192,gal
sofia,1353mosC,195,gal
sofia,1353mosC,197,gal
sofia,1353mosC,199,gal
sofia,1353mosC,203,gal
sofia,1353mosC,207,gal
sofia,1353mosC,208,gal
sofia,1353mosC,210,notsure
sofia,1353mosC,212,gal
sofia,1353mosC,213,gal
sofia,1353mosC,216,gal
sofia,1353mosC,217,gal
sofia,1353mosC,218,gal
sofia,1353mosC,219,gal
sofia,1353mosC,220,gal
sofia,1353mosC,222,notsure
sofia,1353mosC,228,gal
sofia,1353mosC,229,gal
sofia,1353mosC,232,gal
sofia,1353mosC,233,gal
sofia,1353mosC,234,gal
sofia,1353mosC,235,gal
sofia,1353mosC,236,gal
sofia,1353mosC,242,gal
sofia,1353mosC,244,gal
sofia,1353mosC,250,gal
sofia,1353mosC,271,gal
sofia,1353mosC,273,gal
sofia,1353mosC,278,gal
sofia,1353mosC,332,notsure
sofia,1353mosC,340,notsure
sofia,1353mosC,396,gal
sofia,1353mosC,404,notsure
sofia,1353mosC,410,notsure
sofia,1353mosD,8,gal
sofia,1353mosD,15,notsure
sofia,1353mosD,61,notsure
sofia,1353mosD,84,gal
sofia,1353mosD,186,gal
sofia,1353mosD,189,gal
sofia,1353mosD,191,gal
sofia,1353mosD,195,gal
sofia,1353mosD,196,gal
sofia,1353mosD,199,gal
sofia,1353mosD,200,gal
sofia,1353mosD,202,gal
sofia,1353mosD,203,gal
sofia,1353mosD,204,gal
sofia,1353mosD,218,gal
sofia,1353mosD,219,gal
sofia,1353mosD,221,gal
sofia,1353mosD,230,gal
sofia,1353mosD,288,gal
sofia,1353mosE,50,gal
sofia,1353mosE,66,gal
sofia,1353mosE,67,gal
sofia,1353mosE,69,interactinggal
sofia,1353mosE,70,gal
sofia,1353mosE,71,gal
sofia,1353mosE,73,notsure
sofia,1353mosE,74,gal
sofia,1353mosE,78,gal
sofia,1353mosE,79,gal
sofia,1353mosE,80,gal
sofia,1353mosE,83,gal
sofia,1353mosE,84,gal
sofia,1353mosE,85,gal
sofia,1353mosE,86,gal
sofia,1353mosE,87,gal
