,file,mass
0,g2_model49.fits,198751275.46868652
0,g1_model854.fits,2762881875.864428
0,g1_model933.fits,4924468685.576453
0,g1_model936.fits,
0,g1_model262.fits,421491491.79644364
0,g1_model914.fits,3540526539.602157
0,g1_model696.fits,1048356639.0750675
0,g1_model323.fits,570751578.2699509
0,g1_model76.fits,
0,g1_model526.fits,1003865751.1735755
0,g1_model987.fits,8321760621.821331
0,g2_model524.fits,738581633.6141453
0,g1_model499.fits,758445349.9248693
0,g1_model282.fits,463161386.9112022
0,g2_model552.fits,
0,g1_model42.fits,275852188.702009
0,g1_model385.fits,508415945.20404834
0,g1_model321.fits,1159668390.9366953
0,g1_model448.fits,
0,g1_model92.fits,241333648.43795857
0,g1_model130.fits,294515017.73697454
0,g1_model106.fits,
0,g2_model114.fits,262943640.82720667
0,g2_model296.fits,498055813.51655585
0,g2_model821.fits,2051816636.902171
0,g2_model620.fits,1506305241.3731215
0,g2_model752.fits,
0,g2_model921.fits,3709493243.245124
0,g2_model429.fits,
0,g1_model730.fits,1330713225.2621174
0,g2_model75.fits,281544916.7106885
0,g1_model123.fits,
0,g1_model881.fits,2957356378.9309645
0,g2_model20.fits,210987141.37686825
0,g1_model533.fits,666221526.5800738
0,g1_model346.fits,714399750.9007635
0,g1_model103.fits,276197946.47450125
0,g2_model971.fits,6017269710.1844635
0,g1_model413.fits,
0,g2_model87.fits,281224670.1864204
0,g1_model542.fits,745244133.8031899
0,g2_model359.fits,726456932.3812165
0,g1_model43.fits,232973758.39339918
0,g1_model38.fits,376248709.42094386
0,g2_model690.fits,1119994092.5430293
0,g1_model571.fits,
0,g2_model377.fits,611952889.3540884
0,g1_model153.fits,231885483.64948365
0,g1_model302.fits,
0,g1_model139.fits,327372678.9108355
0,g1_model247.fits,332433695.15740424
0,g1_model618.fits,808856964.466247
0,g2_model738.fits,1430528845.5521166
0,g2_model984.fits,6756065793.33223
0,g2_model930.fits,4904701459.755565
0,g2_model806.fits,2206573228.4947524
0,g1_model317.fits,371180934.97827095
0,g2_model744.fits,1586134196.7343068
0,g2_model878.fits,2392228829.4928274
0,g1_model278.fits,360642189.88531315
0,g2_model1001.fits,14184942509.2118
0,g2_model462.fits,766041057.1665366
0,g2_model3.fits,
0,g2_model585.fits,1062290825.5806742
0,g1_model617.fits,
0,g2_model62.fits,260844846.34093213
0,g2_model983.fits,8418952609.717024
0,g1_model138.fits,249378660.38922888
0,g2_model717.fits,1121863116.6185713
0,g1_model212.fits,319951250.0473092
0,g2_model1009.fits,18357300474.208256
0,g1_model582.fits,754060053.8722702
0,g2_model50.fits,328499174.8979822
0,g1_model426.fits,699468753.1372603
0,g2_model472.fits,600116021.8672405
0,g2_model26.fits,248257753.00814262
0,g1_model959.fits,5662540291.099533
0,g2_model814.fits,4649330928.675414
0,g2_model749.fits,
0,g1_model166.fits,459130764.2707298
0,g2_model853.fits,2284876553.9675193
0,g1_model435.fits,660370913.491087
0,g1_model839.fits,2019325770.649381
0,g2_model577.fits,1017159599.573449
0,g2_model721.fits,1507319615.9302661
0,g1_model923.fits,4328324237.68245
0,g2_model260.fits,385630248.40558463
0,g2_model154.fits,349239686.44218045
0,g1_model922.fits,5728923581.020513
0,g2_model71.fits,243907368.88053858
0,g1_model296.fits,447570708.65840155
0,g1_model665.fits,1590978018.0494802
0,g2_model822.fits,1729678811.5660655
0,g2_model67.fits,
0,g1_model203.fits,
0,g2_model445.fits,729967484.4931757
0,g1_model1008.fits,21815804896.348587
0,g1_model736.fits,1652240875.0961144
0,g2_model97.fits,
0,g1_model632.fits,987514656.6175964
0,g1_model201.fits,353521806.2701161
0,g1_model266.fits,625944120.2820504
0,g2_model390.fits,454813599.0339212
0,g1_model548.fits,635964468.2602364
0,g2_model910.fits,6816534309.019144
0,g1_model790.fits,1931797171.3036811
0,g1_model161.fits,331735625.05966467
0,g2_model815.fits,
0,g1_model78.fits,317645068.3969287
0,g1_model1000.fits,11098582221.346525
0,g1_model293.fits,374118488.25950706
0,g1_model789.fits,1439373034.916607
